bodyweight,g__Anaerofustis,Fraxin,"""D-Homo-A-nor-17a-oxaandrost-3(5)-ene-2,17-dione""",Estrone 3-glucuronide,DL-beta-Hydroxybutyric acid,Piperidione,Dehydrocholic acid,Trans-Cinnamic acid,11(E)-Eicosenoic acid,progesterone,7-Oxatyphasterol,IBMX,g_Bifidobacterium,Karwinaphthol B,g_Veillonella,"N,N-Dihydroxy-L-trytophan","4,4-Difluoro-17beta-hydroxyandrost-5-en-3-one propionate",Stanozolol,sn-3-O-(geranylgeranyl)glycerol 1-phosphate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.012455192,0.014128678,-0.002326625,-0.004632073,-0.001110978,0,0.013317551,0.008376925,0.000767486,-0.000979308,-0.007471174,-0.005099476,0,0.002921677,-0.01771796,0,-0.003819557,0,0.005179011,0.0044258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.020783915,-0.026937222,-0.007605246,-0.003348653,-0.008663901,0,-0.002781343,0.005168353,-0.020770106,-0.006875112,0,0,-0.022272095,0,-0.001592636,-0.009108686,0,-0.007655109,-0.002437102,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.017533808,0.014878878,0,0,0,0,0,0.007049109,0.004978881,0.023135982,-0.009613654,0,0.018017046,0,0,0.004590602,-0.009923518,0.004825601,0.005061765,0.014490094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.033704378,0.011809876,-0.024838564,0.003806782,0,-0.010157894,-0.004788664,0.00684782,0.003104284,0,0,-0.002301393,0.002976469,0.002295863,-0.007281596,0.005911704,0,0,0.009491426,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.04310765,0.01581811,-0.0211834,0.003509689,0.032731897,0.011164726,0.005781397,0.005535373,0.00879358,0.004328076,0.004722172,0,0,0.002393113,0.004651686,0.013161016,0,0.008347447,-0.011764869,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.029626934,0.011222835,0.009107983,-0.016998043,0.025614853,0.007014912,0.004246717,0.008236908,0.009577299,0.007133313,0.031283484,0,0.00798285,0.003379623,0.012130565,0.006988295,0.024285494,0.005570184,0.010955328,-0.024910698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.020380271,0.013802099,-0.013575664,0,-0.012386609,0.01138783,-0.005751313,0.003215197,-0.013983746,-0.005970923,0,0.009303992,0,0,-0.00947868,0,-0.008892254,-0.016705141,-0.00227124,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.024068506,0.013925129,0,-0.016472557,-0.010043591,0.010637524,-0.008649406,-0.003883298,0,-0.006208529,-0.002271985,0.004060808,-0.008315127,0,-0.000324539,0,-0.005819557,-0.005110726,-0.005399853,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.025552937,0.011068814,0.024231786,0.009789045,-0.00554362,0.02938971,0.018864623,0.006539516,0.007781274,-0.005647056,-0.0034798,-0.002701931,0.006716352,0.003584074,-0.007534468,0.005013745,0.021482064,-0.003544978,-0.005242419,0.000765848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.020746916,0.020686076,0.013063289,0.011176953,0.009169124,0.009070681,0.008851668,0.00865657,0.007671471,0.007149559,0.006710286,0.006445527,0.006100622,0.005804587,0.005680905,0.005477779,0.00539442,0.005323995,0.005292489,0.005075632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
