MS2.name	LOG_FOLDCHANGE	负log_10(q-value)
Indapamide	-2.7165	0.824401
Aleuretic Acid	-2.7141	0.188666
Pseudouridine	-2.6988	0.309937
"3,4-Dihydroxyphenylacetic acid"	-2.6955	1.271711
Catechin	-2.6944	0.190777
"2-(2-oxo-8,9-dihydrofuro[2,3-h]chromen-8-yl)propan-2-yl acetate"	-2.6519	0.190777
4-Vinylphenol	-2.5738	0.178414
Nitazoxanide	-2.5689	0.188666
Sinapinic acid	-2.5617	0.200308
Homovanillic acid	-2.5522	0.190777
Uridine monophosphate (UMP)	-2.548	1.461213
"Deoxysappanone B 7,3'-Dimethyl Ether"	-2.5437	1.271711
L-Ascorbic acid 2-sulfate	-2.524	0.199269
2'-Hydroxy-a-naphthoflavone	-2.5072	0.180542
Daidzein	-2.505	0.461213
N-Glycolylneuraminic acid	-2.4304	0.647702
3-(4-Hydroxyphenyl)-1-propanol	-2.4067	0.200184
O-SUCCINYL-L-HOMOSERINE	-2.3397	0.230497
Hematoxylin	-2.327	0.190777
Seneciphyllin	-2.2953	0.180739
alpha-Linolenoyl ethanolamide	-2.2747	0.190777
(+/-)19(20)-DiHDPA	-2.2548	0.521881
Succinic acid	-2.2353	0.190777
Isohomovanillic acid	-2.2298	0.190777
Benzyl 6-O-beta-D-glucopyranosyl-beta-D-glucopyranoside	-2.1997	0.17663
Chrysin	-2.1826	0.190777
[1-hydroxy-1-(4-methoxyphenyl)propan-2-yl] 4-methoxybenzoate	-2.136	0.195663
HIPPURATE	-2.1149	0.190777
Phthalic acid	-2.0902	0.799971
rosmarinic acid	-2.0872	0.190777
Acetochlor ESA	-2.0761	0.190777
Cucurbitacin I	-2.073	0.700667
Galacturonic acid	-2.0718	1.06408
Taurochenodeoxycholic Acid (sodium salt)	-2.0684	0.407002
Deoxycorticosterone 21-glucoside	-2.0556	0.190777
"2',4',6'-Trihydroxydihydrochalcone"	-2.0551	0.190777
2-decyl-3-hydroxypentanedioic acid	-2.0478	0.217255
Garcinolic Acid	-2.0457	0.190777
Beta-Peltatin	-2.0343	0.190777
D-(+)-Malic acid	-2.0023	0.23554
3-Ureidopropionic acid	-1.9847	0.190777
raspberry ketone	-1.9715	0.190777
Piperonylic Acid	-1.9697	0.983259
4- Carboxyphenylglycine	-1.9596	0.190777
L-Lysine	-1.9478	0.536869
Lunarine	-1.9461	0.190777
3-oxo-C14 homoserine lactone	-1.9193	0.190777
Sinomenine	-1.9014	0.769756
Phenethylamine	-1.8819	2.977489
"5,6-Dihydroxy-3',4'-dimethoxyflavanone"	-1.8662	0.19046
3-O-methylfunicone	-1.8648	0.190777
Guanosine	-1.8309	0.338736
Tadalafil	-1.8157	0.483147
N-Oleoyl-Phenylalanine	-1.803	0.218992
Hippuric acid	-1.7736	0.143489
N-Acetyl-alpha-D-glucosamine	-1.7702	0.478587
Pygenic acid A b	-1.7679	0.188666
skimmin	-1.7679	0.974489
trans-Aconitic acid	-1.7662	0.554816
3-UREIDOPROPIONATE	-1.7301	0.165509
Asparagine	-1.7283	0.425124
"4,6,8-trihydroxy-7-methoxy-3-methyl-3,4-dihydroisochromen-1-one"	-1.7088	0.177302
Pyruvic acid	-1.6768	0.307382
Indole-2-carboxylic acid	-1.6609	0.190777
Diffractaic Acid	-1.6588	0.181398
1-Methyladenine	-1.6475	0.714173
1-Chlorobenzotriazole	-1.6412	0.575494
2-Methoxy-4-vinylphenol	-1.636	0.190777
15-OxoETE	-1.6305	1.011459
2-Oxoglutaric acid	-1.5981	0.748167
Equol	-1.5879	0.190777
5-Aminonaphthalene-2-sulfonic acid	-1.5832	0.190777
"5,7-dihydroxy-4-(4-methoxyphenyl)-3,4-dihydrochromen-2-one"	-1.5817	0.309937
3-oxo-C10-homoserine lactone	-1.5572	0.235585
D-Glucose 6-phosphate	-1.5536	1.007433
Ethyl oleate	-1.5331	0.708542
2-O-Methyladenosine	-1.5182	0.938623
Taurodeoxycholic Acid	-1.5128	0.299972
Cytarabine	-1.4879	0.833392
"5-[(Z)-12-(3,5-dihydroxyphenyl)dodec-8-enyl]benzene-1,3-diol"	-1.4862	0.326721
L(-)-Pipecolinic acid	-1.4803	0.181477
3-Hydroxyanthranilic acid	-1.4799	0.436531
Dihydrofolic acid	-1.4658	0.146454
4-Hydroxybenzenesulfonic acid	-1.461	0.188666
Inosine	-1.4604	0.287451
"3,4-Dihydroxy-L-phenylalanine"	-1.4429	0.190777
Deacetoxy-7-Oxogedunin	-1.4418	0.338358
N-Acetylputrescine	-1.4407	0.134825
Bufalin	-1.44	0.232629
Medicagenic acid	-1.4282	0.136594
"1,4-dihydroxyheptadec-16-en-2-yl acetate"	-1.428	0.202532
Nootkatone	-1.4241	0.233766
Gallocatechin	-1.4124	0.491241
TRIGONELLINE	-1.4102	0.977695
Thymine	-1.4003	0.446833
Nicotine	-1.3939	1.576295
Tetradecanedioic acid	-1.3893	0.262569
Methylgallate	-1.389	0.183871
4-deoxyphloridzin	-1.377	0.160089
Cinnamoylglycine	-1.3756	0.190777
Prostaglandin A1 ethyl ester	-1.3748	0.344967
Rubone	-1.3641	0.190777
Dihydrogedunin	-1.3575	0.168508
DIGOXIGENIN	-1.3501	0.275061
N-ACETYLNEURAMINATE	-1.348	1.728577
(S)-Equol	-1.3473	0.190777
Enterodiol	-1.346	0.173174
Thymidine	-1.3371	0.459671
Coumafuryl	-1.3272	0.190777
PSEUDO-ANISATIN	-1.325	2.848018
Salidroside	-1.323	0.376751
7-Methylsulfenylheptyl isothiocyanate	-1.3207	0.870213
Maleic acid	-1.2944	0.425124
N-Methylisoleucine	-1.2941	0.143489
4-O-Methylphloracetophenone	-1.2887	0.190777
D-Gluconic acid	-1.2654	0.764118
barceloneic acid A	-1.2643	0.287426
CYCLOSERINE	-1.2492	0.486183
Uridine	-1.2455	0.353959
Ferulic acid	-1.2431	0.190777
Marticin	-1.2366	0.360514
octadec-9-ynoic acid	-1.2323	0.509648
8-Oxo-2-deoxyadenosine	-1.223	0.380521
N-ACETYL-L-LEUCINE	-1.2183	0.165662
DL-alpha-Aminocaprylic acid	-1.2178	0.14649
cordycepin	-1.2155	0.699774
p-Benzoquinone	-1.2013	0.789628
4-Hydroxymandelic acid	-1.2	0.190777
Chloridazone-methyl-desphenyl	-1.1901	0.671763
Juglalin	-1.1783	0.220779
2-QUINOLINECARBOXYLIC ACID	-1.1779	0.125756
"methyl 2-(2,6-dihydroxy-4-methylbenzoyl)-3,5-dimethoxybenzoate"	-1.1753	0.155778
L-Threonic acid	-1.1689	0.705843
3-Genistein-8-C-glucoside	-1.155	0.190777
Quinic acid	-1.1547	1.051387
Salvinorin B	-1.1516	0.200184
Beta-Caryophyllene Alcohol	-1.1406	0.326721
Phosphatidylinositol 16:0-18:1	-1.1396	0.230497
Phenothiazine	-1.1378	0.294966
N-Tigloylglycine	-1.1337	0.335377
Prunin	-1.1289	0.202532
"2-hydroxy-6-[(8Z,11Z)-pentadeca-8,11,14-trien-1-yl]benzoic acid"	-1.1281	0.423083
"3,4,5-trimethoxycinnamic acid"	-1.1074	0.309937
L-Cysteine-S-sulfate	-1.1063	0.268371
Cholest-4-en-3-one	-1.1005	0.569328
4-Aminophenol	-1.0989	0.459671
Caprylic acid	-1.0929	0.766852
Cetraxate	-1.0804	0.459671
7-Hydroxy-4-methylcoumarin	-1.0801	0.231399
3-Indoxyl sulphate	-1.0778	0.180331
O-Desmethyltramadol	-1.0766	1.271711
"1,3,6-trihydroxy-2-(3-methylbut-2-enyl)xanthen-9-one"	-1.0707	0.381983
Coproporphyrin I	-1.0652	0.3664
N-Formyl-L-Methionine	-1.0649	0.190777
"13,14-dihydro-15-keto-tetranor Prostaglandin E2"	-1.0554	0.311331
Catechol	-1.0553	0.268371
Pipecolic acid	-1.0495	0.178323
LITHOCHOL-11-ENIC ACID	-1.0469	0.412558
9-Methyluric acid	-1.0457	0.381983
Sedanolide	-1.0321	1.352979
"2,3-dinor Prostaglandin E1"	-1.031	0.666815
"(2R)-2-[(2R,5S)-5-[(2S)-2-hydroxybutyl]oxolan-2-yl]propanoic acid"	-1.028	0.231591
Bisphenol S	-1.0267	0.690668
GLYCOCHOLATE	-1.022	0.190777
2-(3-(8-hydroxyoctyl)phenoxy)acetic acid	-1.0206	0.461213
Uracil	-1.0171	0.478587
abscisic acid	-1.0153	0.129538
Dronedarone	-1.0094	0.210998
N-Acetylanthranilic acid	-1.001	0.16221
Enterolactone	-0.99694	0.190777
"5,6-DIHYDROURACIL"	-0.99408	0.155585
5-Hydroxy Diclofenac	-0.99329	1.884024
FAHFA 36:2	-0.98297	0.238982
"4-Hydroxy-2',3,4',6'-tetramethoxychalcone"	-0.9826	0.190777
3-Hydroxysebacic acid	-0.97941	0.798849
N-ACETYL-L-ASPARTIC ACID	-0.97178	0.23554
sesamin	-0.96962	0.167351
"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole"	-0.96268	0.190777
phenylglucoside	-0.95572	0.313498
afzelechin	-0.95259	0.190777
gamma-Glutamyltyrosine	-0.9486	0.16117
"2-(14,15-Epoxyeicosatrienoyl) glycerol"	-0.94792	0.262569
Nervonic acid	-0.93573	0.708542
3-Phosphoglyceric acid	-0.93121	0.914388
cis-Aconitic acid	-0.92785	0.491659
DL-Homoserine	-0.92664	0.764118
N-Acetylneuraminic acid	-0.92395	0.338358
Sinapic acid	-0.90985	0.200308
3-[4-methyl-1-(2-methylpropanoyl)-3-oxocyclohexyl]butanoic acid	-0.90948	0.344967
3-METHYLADENINE	-0.89664	0.673357
2'-DEOXYURIDINE 5'-MONO-PHOS-PHATE	-0.8914	0.580193
Imidazolelactic acid	-0.89034	0.345535
DL-Arginine	-0.88278	0.326721
Scopoletin	-0.87882	0.282463
13-HpOTrE(r)	-0.87246	0.119672
Phenylalanine	-0.86307	0.459671
Epigallocatechin	-0.85648	0.299972
Phenyl-beta-glucopyranoside	-0.85414	0.626518
3-(8-hydroxyoctyl)phenol	-0.85326	0.441327
Lupinine	-0.85059	0.673275
"2,4-diacetylphloroglucinol"	-0.84223	1.228971
"5-[(Z)-14-(3,5-dihydroxyphenyl)tetradec-8-enyl]benzene-1,3-diol"	-0.84197	0.303312
Gly-Tyr-Ala	-0.84087	0.130534
trans-4-Phenyl-4-piperidinocyclohexanol	-0.83622	0.202532
Paracetamol	-0.83002	0.208078
Meglutol	-0.8293	0.735206
Eupatilin	-0.82871	0.420708
Phenylacetylglycine	-0.82863	0.190777
2'-Deoxyinosine-5'-monophosphate sodium salt	-0.82421	0.251029
"ethyl 2-(2-acetyl-3,5-dihydroxyphenyl)acetate"	-0.82232	1.044163
(+/-)9-HODE	-0.81753	0.136594
Prolylyphenylalanine	-0.80911	0.345535
L-kynurenine	-0.80589	0.154022
adrenosterone	-0.80439	0.18423
L-(+)-Tartaric acid	-0.79723	0.949272
3-(2-amino-2-oxoethyl)-5-methyl-hexanoic acid	-0.79524	0.175081
"(5E)-3,4,9-trihydroxy-2-propyl-2,3,4,7,8,9-hexahydrooxecin-10-one"	-0.7945	0.909954
kaempferol 7-neohesperidoside	-0.78543	0.118284
asterric acid	-0.78187	0.345092
2'-O-Methylguanosine	-0.78143	0.253708
3-O-acetylpadmatin	-0.7813	0.190777
2'-Deoxycytidine 5'-monophosphate (dCMP)	-0.78004	0.190777
Valsartan acid	-0.77323	0.420285
3-Methylxanthine	-0.77322	0.526966
Sphingosine (d18:1)	-0.77108	0.268371
Phosphatidylethanolamine lyso 22:6	-0.77038	0.211252
Stavudine	-0.76886	0.190777
Erucic acid	-0.76247	0.319347
Butabarbital	-0.76242	0.190777
Prulaurasin	-0.76242	0.215568
"3,3-Dimethylglutaric acid"	-0.75475	0.470814
Pinoquercetin	-0.75292	0.543588
Monobenzyl phthalate	-0.75272	0.328661
Emodin	-0.74975	0.291069
Triptolide	-0.74815	0.735206
Parfumine	-0.74376	0.098978
"(12Z)-9,10,11-trihydroxyoctadec-12-enoic acid"	-0.73798	0.243539
Physostigmine	-0.73653	0.154022
L-Alanyl-L-proline	-0.72934	0.17695
2-OXOADIPATE	-0.72005	0.190777
dehydroabietic acid	-0.71832	0.839531
N4-Acetylsulfamethazine	-0.71475	0.466203
S-Adenosylhomocysteine	-0.71316	0.162778
3-Hydroxyphenylacetic acid	-0.71299	0.482553
Lagochilin	-0.71229	0.330692
Asiatic acid	-0.70902	0.295318
Nicotinoylglycine	-0.70724	0.190777
Itaconic acid	-0.70304	0.190777
Gentisic acid	-0.70097	0.311331
N-alpha-L-Acetyl-arginine	-0.69425	0.43031
"1,7-bis(4-hydroxyphenyl)heptan-3-one"	-0.6921	0.38901
O-Succinylhomoserine	-0.68688	0.162734
Decanoic acid	-0.68423	0.542906
L-Homocystine	-0.684	0.309149
Arachidic acid	-0.68306	0.309937
17alpha-Hydroxyprogesterone	-0.68016	0.190777
Vulpinic Acid	-0.67946	0.251107
L-Norleucine	-0.67913	0.363382
"6,7,3',4'-Tetrahydroxyflavanone"	-0.67831	0.230497
L-Cysteinesulfinic acid	-0.67716	0.646892
Dihydrothymine	-0.67156	0.138609
Lupulone	-0.66587	0.575494
Tyrosine	-0.66493	0.311331
Atractylenolide III	-0.6646	0.516741
Asiaticoside	-0.65989	0.190777
(Z)-2-octylpent-2-enedioic acid	-0.65708	0.311456
D-Sedoheptulose 7-phosphate	-0.65509	0.407757
Alpha-Hydroxydeoxycholic Acid	-0.6541	0.26206
Pyridoxal	-0.65234	0.526966
Di-n-butyl phthalate	-0.65089	0.708542
(+/-)-Abscisic acid	-0.64855	0.284557
Thymol-beta-D-glucoside	-0.64729	0.251029
Dihydrojasmonic Acid	-0.64162	0.216361
Metolachlor OXA	-0.64098	0.217943
Astilbin	-0.63406	0.190777
Valylproline	-0.62939	0.299972
Nimodipine	-0.62596	0.232214
"1,7-Dideacetoxy-1,7-Dioxo-3-Deacetylkhivorin"	-0.62573	0.275732
Estriol	-0.62536	0.326721
13-HOTrE	-0.62307	0.313498
Cholic acid	-0.62058	0.168508
Kawain	-0.61972	0.299972
S-HEXYL-GLUTATHIONE	-0.61456	0.179864
Propylparaben	-0.61168	0.337762
2-methoxy-6-pentadecylbenzoic acid	-0.60964	0.211309
Pyridoxamine	-0.60822	0.164525
Nifekalant	-0.60368	0.104633
Hexadecanamide	-0.60339	0.206566
Benzylsuccinic acid	-0.59875	0.577148
Leucylproline	-0.59832	0.190777
monolinolein	-0.59804	0.073205
CHENODIOL	-0.59742	0.253132
"trans,trans-2,4-Heptadienal"	-0.59472	0.833392
Tomelukast	-0.59319	0.290637
3-Deoxo-3Beta-Hydroxymexicanolide 16-Enol Ether	-0.5928	0.17744
(4-chloro-2-methylphenoxy)acetic acid	-0.58743	0.193169
3-Hydroxydecanoic acid	-0.58313	0.218992
"[1-(3,5-dihydroxyphenyl)-12-hydroxytridecan-2-yl] acetate"	-0.57574	0.190777
ASCORBIC ACID	-0.57471	0.309149
alpha-Aspartylphenylalanine	-0.57347	0.125315
3-Hydroxybenzoic acid	-0.57319	0.661245
3-[3-(beta-D-Glucopyranosyloxy)-2-hydroxyphenyl]propanoic acid	-0.56987	0.17695
Adenine	-0.55729	0.190777
Folinic acid	-0.55648	0.190777
Naringenin	-0.55639	0.225987
PILOCARPINE NITRATE	-0.55464	0.190777
Mono(2-ethylhexyl) phthalate (MEHP)	-0.54797	0.234197
"2,6-Dihydroxy-4-Methoxytoluene"	-0.54459	0.335405
Taurocholic acid	-0.54257	0.134825
PHOSPHO(ENOL)PYRUVIC ACID	-0.54191	1.073946
Alanopine	-0.53937	0.194003
L-(-)-Methionine	-0.53924	0.245514
Atorvastatin	-0.52513	0.299123
"9-(2,3-dihydroxypropoxy)-9-oxononanoic acid"	-0.52408	0.445874
"N6,N6,N6-Trimethyl-L-lysine"	-0.52365	0.143724
geniposide	-0.52304	0.190777
DL-Stachydrine	-0.51954	0.378761
cyclopenin	-0.51632	0.154022
Hymecromone	-0.51468	0.114158
Hematein	-0.51323	0.190777
Thiamine	-0.51321	0.183871
"2,8-quinolinediol"	-0.51125	0.27913
Heneicosanoic acid	-0.50862	0.137445
Tagatose	-0.50528	0.250998
"(2R)-2,3-Dihydroxypropanoic acid"	-0.50329	0.190777
Shanzhiside methyl ester	-0.50253	0.190777
Benidipine	-0.50192	0.287451
4-Hydroxy-6-methyl-2-pyrone	-0.50151	0.167351
Ribose	-0.49875	0.344055
Sulfamethazine	-0.4978	0.725173
Rhodinyl Acetate	-0.49735	0.080096
9-methoxycarbonyldec-9-enoic acid	-0.49487	0.392813
N-Acetylcysteine	-0.4934	0.190777
N-Acetyl-D-galactosamine 4-sulfate	-0.49186	0.190777
Hydroxyvalerenic Acid	-0.48802	0.190777
Ethyl myristate	-0.48725	0.319646
Bufexamac	-0.48707	0.113154
N-(9-oxodecyl)acetamide	-0.48258	0.308423
DL-beta-Leucine	-0.47515	0.218992
Dehydrocholic acid	-0.47123	0.328124
terpestacin	-0.46798	0.13314
N-Methylanthranilic Acid	-0.46793	0.190777
Xanthurenic acid	-0.46718	0.148137
7-Oxocholesterol	-0.46709	0.136594
4-Methoxycinnamaldehyde	-0.46521	0.334945
Avocadyne Acetate	-0.46519	0.25777
Emetine	-0.46321	0.226784
Flunixine	-0.46079	0.337186
Aflatoxin G2	-0.46074	0.241997
Cynaroside	-0.46066	0.190777
Malonic acid	-0.45984	0.242817
Desoxycortone	-0.45977	0.190777
(E)-2-decylpent-2-enedioic acid	-0.45893	0.132792
N6-(DELTA2-ISOPENTENYL)-ADENINE	-0.45478	0.170336
GUANIDINOACETATE	-0.45408	0.136594
Cinnamic acid	-0.45404	0.168508
Phosphatidylethanolamine 18:2-18:2	-0.44641	0.094188
"9-hydroxy-10,12-octadecadienoic acid"	-0.44601	0.146077
Glycocholic acid	-0.44562	0.131209
2-(6-hydroxyhexyl)-3-methylidenebutanedioic acid	-0.44435	0.154381
"(6E)-2,6,10-trimethyldodeca-6,11-diene-2,3,10-triol"	-0.44168	0.380521
3-Gal(1-2)GluA Soyasapogenol B	-0.43651	0.242779
7-Hydroxymitragynine	-0.43329	0.13441
DL-Glutamine	-0.4312	0.314321
DEOXYCYTIDINE	-0.42774	0.168508
Oleic	-0.42675	0.10311
Phosphatidylglyceride 18:2-22:6	-0.42578	0.154183
Kinetin	-0.4163	0.279163
"2-(3-hydroxy-5-methoxyphenoxy)-6-(hydroxymethyl)oxane-3,4,5-triol"	-0.41336	0.190777
4-PYRIDOXATE	-0.40886	0.190777
2-Hydroxybenzothiazole	-0.40649	0.436092
2'-Deoxyuridine-5-monophosphate	-0.40524	0.13061
2-Keto-4-methylthiobutyric acid	-0.40429	0.093757
"5,6-Dimethylbenzimidazole"	-0.40427	0.314375
3-(4-Hydroxyphenyl)propionic acid	-0.4042	0.309937
Tretinoin	-0.39115	0.329559
3-Phosphonopropionic acid	-0.38975	0.491241
"3,7-Epoxycaryophyllan-6-One"	-0.38633	0.342399
Methylimidazoleacetic acid	-0.38532	0.190777
N-Formylmethionine	-0.38354	0.222109
2-Methylbutyl beta-D-glucopyranoside	-0.37861	0.165509
Valaciclovir	-0.3785	0.119284
"1,2-Propanediol"	-0.37419	0.309149
3-[(1-Carboxyvinyl)oxy]benzoic acid	-0.37159	0.079063
Isobutyric acid	-0.36733	0.125315
Argatroban	-0.36291	0.172501
Salsolidine	-0.36268	0.08992
12-oxo Phytodienoic Acid	-0.36143	0.172185
Cetirizine N-Oxide	-0.36125	0.114158
4-oxo-5-phenylpentanoic acid	-0.35884	0.136594
5-(4-methyl-5-oxo-2H-furan-3-yl)pentanoic acid	-0.35586	0.210546
1-(2-Chlorophenyl)piperazine (o-CPP)	-0.35523	0.093757
RICININE	-0.35174	0.190777
D-(+)-Pyroglutamic Acid	-0.35099	0.230497
N-Isovalerylglycine	-0.34836	0.140525
N-(5-acetamidopentyl)acetamide	-0.34382	0.047915
Ala-Phe	-0.34216	0.085123
Quercetin	-0.3416	0.279543
L(+)-Ornithine	-0.34059	0.190777
2-(3-pentadecylphenoxy)acetic acid	-0.3379	0.261291
"6,8-Diprenylnaringenin"	-0.33765	0.114808
"methyl 3-(3,4-dihydroxy-5-phenyloxolan-2-yl)-3-hydroxypropanoate"	-0.33635	0.188666
"4',5,7-trihydroxy-3,6-dimethoxyflavone"	-0.33496	0.190777
3-HYDROXY-4-(SUCCIN-2-YL)-CARYOLANE delta-LACTONE	-0.33483	0.184821
"alpha,alpha-Trehalose"	-0.33185	0.093735
Oleamide	-0.32858	0.190777
Pimelic acid	-0.32604	0.190777
4-HYDROXY-L-PROLINE	-0.32232	0.141367
Telmisartan	-0.32227	0.065855
Citrazinc acid	-0.31878	0.114808
2-Methylglutaric acid	-0.30645	0.146077
Hydroxyprogesterone	-0.30623	0.284841
Sulfocholic acid	-0.30515	0.111562
Difucol Hexamethyl Ether	-0.30488	0.299972
N-(2-hydroxyphenyl)acetamide	-0.30414	0.161825
Jasmonic acid	-0.30269	0.108624
Upsilon-L-Glutamyl-L-glutamic acid	-0.30236	0.125315
"13Z,16Z-Docosadienoic Acid"	-0.3013	0.140303
Milbemectin A4	-0.30117	0.067121
coniferin	-0.28912	0.093213
Azelaic acid	-0.28895	0.078542
Docosahexaenoyl Ethanolamide	-0.28889	0.190777
N-ALPHA-ACETYL-L-ASPARAGINE	-0.28693	0.170336
M-Coumaric acid	-0.28522	0.062698
Valganciclovir	-0.28518	0.146454
"N-(2,5-dioxocyclopentyl)acetamide"	-0.285	0.17695
Serine	-0.28398	0.190777
Deoxyuridine	-0.28392	0.132992
isotaxiresinol	-0.28026	0.114808
curvularin	-0.27736	0.157385
Primidone (Mysoline)	-0.27617	0.069138
"18-Aminoabieta-8,11,13-Triene Sulfate"	-0.27122	0.282105
Kynurenic acid	-0.26902	0.128742
1-AMINOCYCLOPROPANE-1-CARBOXYLATE	-0.26849	0.136594
Prostaglandin F2alpha 1-11-lactone	-0.26233	0.250658
Propentofylline	-0.25995	0.071804
7-HDoHE	-0.25828	0.103143
"N-(2,6-Dimethylphenyl)-N-(methoxyacetyl) alanine"	-0.25782	0.190777
2-Hydroxycinnamic acid	-0.25693	0.09722
Anabasine Hydrochloride	-0.25663	0.119672
2-(8-hydroxyoctyl)-6-methoxybenzoic acid	-0.25662	0.162911
L(-)-Carnitine	-0.25289	0.143489
Idebenone	-0.25119	0.132992
Stearamide	-0.25101	0.215126
Chrysanthemic Acid	-0.25078	0.054285
4-ACETAMIDOBUTANOATE	-0.25039	0.191749
Biliverdin	-0.24934	0.028831
Flecainide	-0.249	0.091413
"2,4,5-trimethoxybenzoic acid"	-0.24371	0.06089
Mandelic Acid	-0.24185	0.146454
1H-Benzotriazole-5-carboxylic acid	-0.2399	0.096595
Sinapyl alcohol	-0.23859	0.132992
Tricin	-0.23691	0.164208
Phenylethyl 2-Glucoside	-0.23562	0.145154
L-Phenylalanine	-0.23473	0.126151
3-Methoxyphenylacetic acid	-0.23398	0.113724
Anthranilic acid	-0.23151	0.136594
3-Methyladipic acid	-0.22979	0.164671
"7,8-dimethylalloxazine (lumichrome)"	-0.22977	0.080415
Procaine	-0.22502	0.034996
3-DEHYDROSHIKIMATE	-0.22059	0.14876
tetranor-12(R)-HETE	-0.21918	0.119672
Butylparaben	-0.21278	0.087996
Cafestol	-0.20922	0.151386
trans-Cinnamic acid	-0.20832	0.101593
p-Coumaraldehyde	-0.20828	0.101593
Syringic Acid	-0.20663	0.136594
Cymarine	-0.20401	0.141944
Prostaglandin F1alpha	-0.20173	0.150808
Caffeic acid	-0.2008	0.094263
Trolox	-0.2004	0.111562
L-ARABITOL	-0.19949	0.132238
Pantothenic acid	-0.19703	0.121599
N-Benzylformamide	-0.1926	0.120359
Xylose	-0.19175	0.10476
destruxin A	-0.18908	0.190777
1-Hydroxy-2-naphthoic acid	-0.18711	0.070678
Meprednisone	-0.18646	0.199517
Ergosterol Acetate	-0.18494	0.119758
11(E)-Eicosenoic Acid	-0.18485	0.035632
4-Aminohippuric acid	-0.18396	0.092395
Cetirizine	-0.18341	0.114808
KOBUSONE	-0.18053	0.111562
"4-Hydroxy-2',4',6'-trimethoxychalcone"	-0.17896	0.077653
Dichlorprop	-0.17857	0.211273
Gitoxigenin Diacetate	-0.17777	0.069693
5-Aminosalicylic?acid	-0.17697	0.091033
(R)-baclofen	-0.17632	0.190777
Riluzole	-0.17581	0.092718
Acebutolol	-0.17088	0.104998
Droperidol	-0.16881	0.190777
Coniferylaldehyde	-0.16858	0.057764
Prolylglycine	-0.16839	0.136594
3-Methylcrotonylglycine	-0.16739	0.102082
"3-(1,2-dihydroxypropyl)-1,6,8-trihydroxyanthracene-9,10-dione"	-0.16612	0.129538
(5E)-7-methylidene-10-oxo-4-(propan-2-yl)undec-5-enoic acid	-0.1659	0.154022
Sorbitol	-0.16584	0.093757
Monocrotaline	-0.16105	0.172501
L-Glutamic acid	-0.15989	0.114158
beta-Estradiol-17beta-glucuronide	-0.15648	0.07823
ANETHOLE	-0.15521	0.12962
Norfenefrine	-0.15385	0.090096
Indole	-0.15357	0.094188
norlichexanthone	-0.15315	0.065795
L-Aspartic acid	-0.1525	0.074404
herniarin	-0.15193	0.16221
7-Methylguanine	-0.14983	0.044972
Maltitol	-0.14979	0.041427
10-Hydroxydecanoic acid	-0.14951	0.094188
Murocholic acid	-0.14947	0.088965
Sebacic acid	-0.14947	0.15223
