MS2.name	LOG_FOLDCHANGE	负log_10(q-value)
Genipin	-1.6163	1.164176308
L-kynurenine	-1.6148	0.634156488
2-(3-(8-hydroxyoctyl)phenoxy)acetic acid	-1.6009	1.836778973
"ethyl 2-(2-acetyl-3,5-dihydroxyphenyl)acetate"	-1.5948	4.03193754
3-METHYLADENINE	-1.594	3.037228288
Benzylsuccinic acid	-1.5939	3.248005362
Enterolactone	-1.5864	0.724988262
Scopoletin	-1.5839	1.310061027
coniferin	-1.5771	1.219646678
Sinapic acid	-1.5724	0.959635044
Gallocatechin	-1.5719	1.50420598
Lagochilin	-1.5707	1.835766145
Cholest-4-en-3-one	-1.5704	2.261171894
3-Hydroxyanthranilic acid	-1.5695	1.353302269
Anandamide (AEA)	-1.5628	2.462962078
Prulaurasin	-1.5597	1.204425834
2-Hydroxycinnamic acid	-1.5481	1.283395741
beta-Estradiol-17beta-glucuronide	-1.5465	2.83428097
Emodin	-1.5408	1.61946316
Coniferylaldehyde	-1.5395	1.394716507
N-Acetylaspartic acid	-1.5336	1.007207973
Cholic acid	-1.5298	1.272483142
Oleoyl ethanolamide	-1.5271	2.253466993
Phosphatidylinositol lyso 18:1	-1.5217	0.389883045
"4-Hydroxy-2',3,4',6'-tetramethoxychalcone"	-1.5006	0.662680534
Betulinic acid	-1.5	2.484139397
"8,15-DiHETE"	-1.4976	2.656571711
"5,6-DIHYDROURACIL"	-1.4943	0.510575933
N-Tigloylglycine	-1.4859	1.259597831
DL-Mandelic acid	-1.4817	1.169283051
Salsolidine	-1.4805	1.21827334
Methylimidazoleacetic acid	-1.476	2.288268674
"alpha,alpha-Trehalose"	-1.4757	1.063662223
3-Hydroxysebacic acid	-1.4752	3.221725717
Eseroline Fumarate	-1.4747	2.189129283
4-Pyridoxic acid	-1.4745	1.451733455
Butylparaben	-1.4714	1.899767348
2-Isopropylmalic acid	-1.4688	2.224899501
M-Coumaric acid	-1.4679	0.774328957
5-Hydroxy Diclofenac	-1.4598	5.475538966
Nootkatone	-1.4576	0.686512426
Argatroban	-1.4572	1.848262519
L-Cysteinesulfinic acid	-1.4495	3.2487671
Ochrephilone	-1.4433	2.770548546
(+/-)-Abscisic acid	-1.4397	1.745113706
Propentofylline	-1.4396	0.895683635
Tyrosine	-1.4385	1.848262519
alpha-Lactose	-1.4316	1.551231863
11(E)-Eicosenoic Acid	-1.423	1.040624663
5-Aminosalicylic?acid	-1.4196	1.73116471
Nervonic acid	-1.4168	2.907981529
"13Z,16Z-Docosadienoic Acid"	-1.4142	2.557567269
Pipecolic acid	-1.4095	0.541362151
barceloneic acid A	-1.4094	0.842875804
Salidroside	-1.4032	1.166578751
Asiatic acid	-1.4024	2.112185849
L(-)-Carnitine	-1.4004	2.307153081
"6,7,3',4'-Tetrahydroxyflavanone"	-1.3979	1.340654364
Catechol	-1.3971	0.939755573
Dihydrothymine	-1.3927	0.600966946
skimmin	-1.3905	2.339238841
Bufexamac	-1.3898	0.757086053
Phenylethyl 2-Glucoside	-1.3861	2.147538306
13-HOTrE	-1.3822	2.381230423
sulochrin	-1.3812	0.839561483
Leupeptin	-1.3752	1.303084719
Lithocholic Acid	-1.3696	1.407812135
Hexadecanamide	-1.3684	1.337922466
Andrastin D	-1.3656	1.945616792
Benidipine	-1.3639	3.146496474
3-Hydroxyphenylacetic acid	-1.3606	2.45354371
Sotalol	-1.3598	2.851798513
2-OXOADIPATE	-1.3596	0.987458027
Hematein	-1.3493	1.202240953
osthol	-1.3381	1.594739038
N4-Acetylsulfamethazine	-1.3323	2.1599755
Chloridazone-methyl-desphenyl	-1.3317	1.860845342
1-Methylxanthine	-1.3283	0.8694411
3-O-acetylpadmatin	-1.3215	0.835438971
"3-Hydroxy-3',4',5'-trimethoxyflavone"	-1.3175	1.455969182
Heneicosanoic acid	-1.3145	0.773812677
N-ACETYL-L-ALANINE	-1.3129	1.533636632
Glycocholic acid	-1.3114	1.166610618
Zeranol	-1.3107	2.200101431
Asiaticoside	-1.3071	0.899870797
3-(2-amino-2-oxoethyl)-5-methyl-hexanoic acid	-1.3008	0.649422508
"2,4-diacetylphloroglucinol"	-1.2992	3.965291349
Betulin	-1.2959	2.193433405
"1,2-Propanediol"	-1.2929	3.06938713
Itaconic acid	-1.2925	1.556080199
Celastrol	-1.2895	2.401023563
PUTRESCINE DIHYDROCHLORIDE	-1.2857	2.215561026
"2-(3-hydroxy-5-methoxyphenoxy)-6-(hydroxymethyl)oxane-3,4,5-triol"	-1.2853	2.1599755
Arachidic acid	-1.2827	1.592116438
Sinapyl alcohol	-1.2806	2.026705853
"methyl 3-(3,4-dihydroxy-5-phenyloxolan-2-yl)-3-hydroxypropanoate"	-1.2793	2.045448769
Pimelic acid	-1.2748	2.117003288
"2,4,5-trimethoxybenzoic acid"	-1.2738	0.80579102
"13,14-Dihydro-15-keto-tetranor prostaglandin F1alpha"	-1.2736	1.03271886
Astilbin	-1.2706	1.063974107
Phosphatidylinositol lyso 16:0	-1.2684	0.383146547
"(1S,3R,4S,5R)-1,3,4,5-tetrahydroxycyclohexane-1-carboxylic acid"	-1.2681	2.847558762
tetranor-12(R)-HETE	-1.2645	2.728367463
Methylsuccinic acid	-1.2615	2.471353212
Nimodipine	-1.2609	1.443046546
Gentisic acid	-1.2606	1.559327012
Hymecromone	-1.2601	0.572367852
D-Glucose 6-phosphate	-1.2573	1.715118285
Triptophenolide	-1.2573	3.012195248
Secobarbital	-1.2549	2.112973787
(+/-)-Cannabichromeorcin	-1.2416	0.744100633
3-(4-Hydroxyphenyl)propionic acid	-1.2416	3.164480644
"2,8-quinolinediol"	-1.2412	2.004996966
Cinnamic acid	-1.2389	1.185719101
Eupatilin	-1.2387	1.568974152
Adenine	-1.229	0.866972327
5-HYDROXYINDOLEACETATE	-1.2285	2.117003288
N-Isobutyrylglycine	-1.2264	0.5933917
Dodecylbenzenesulfonic acid	-1.225	4.436566381
S-HEXYL-GLUTATHIONE	-1.2213	1.774328957
17?-Estradiol	-1.2204	1.235666922
Pyridoxal	-1.2197	2.955813149
adrenosterone	-1.2182	0.623386549
Docosahexaenoyl Ethanolamide	-1.2159	1.657379957
3-Hydroxydecanoic acid	-1.2158	1.350840452
9-HpOTrE	-1.2095	1.140483437
4-Hydroxyphenylpyruvic acid	-1.205	1.907489888
Thymol-beta-D-glucoside	-1.2034	1.383178029
Indole-3-lactic acid	-1.2007	0.416971349
"(5E,8Z)-4,7-dihydroxy-2-methyl-2,3,4,7-tetrahydrooxecin-10-one"	-1.1964	2.734451101
O-Desmethyltramadol	-1.195	3.013134253
1-O-b-D-glucopyranosyl sinapate	-1.1937	0.720355866
1-(2-Chlorophenyl)piperazine (o-CPP)	-1.1838	0.929518825
3(2'-Chlorophenyl)-7-hydroxy-4-phenylcoumarin	-1.1749	0.578527697
12-oxo Phytodienoic Acid	-1.1732	1.426931036
Dimethachlor ESA	-1.1713	1.330014059
Chol-11-Enic Acid	-1.1709	1.506779028
2-hydroxy-6-pentadecylbenzoic acid	-1.169	2.64299951
Isobutyric acid	-1.169	1.610160838
"5-[(Z)-14-(3,5-dihydroxyphenyl)tetradec-8-enyl]benzene-1,3-diol"	-1.165	0.95648054
Valaciclovir	-1.1601	0.779708814
"1,7-bis(4-hydroxyphenyl)heptan-3-one"	-1.1575	1.971225473
"2,6-Dihydroxy-4-Methoxytoluene"	-1.1567	2.237096472
Sulfamethazine	-1.1529	4.951558196
"(6E)-2,6,10-trimethyldodeca-6,11-diene-2,3,10-triol"	-1.1519	3.037228288
"Epoxy (4,5Alpha)-4,5-Dihydrosantonin"	-1.147	0.507044153
4-Hydroxy-6-methyl-2-pyrone	-1.1462	0.933375949
Cymarine	-1.1398	2.112697846
4-hydroxy-8-methoxy-5-methyl-3-(3-methylbut-2-enyl)chromen-2-one	-1.1389	1.411963717
"3,3-Dimethylglutaric acid"	-1.1378	2.107805187
Pyridoxamine	-1.136	0.771753674
"1-(2,4-dihydroxyphenyl)-2-(3,5-dimethoxyphenyl)propan-1-one"	-1.1323	2.127272816
Ecgonine	-1.1316	1.768861864
Benzyl Isothiocyanate	-1.131	0.910024277
norlichexanthone	-1.129	2.384291875
Emetine	-1.1281	1.708187313
3-Methoxyphenylacetic acid	-1.1274	1.336346181
3-Hydroxybenzoic acid	-1.1188	3.626573038
L-(+)-Citrulline	-1.1123	0.940058112
Caffeic acid	-1.1107	1.906088259
Thymidine 5'-monophosphate	-1.1091	1.762984371
Avocadyne Acetate	-1.1058	1.768861864
GUANIDINOACETATE	-1.1053	0.71426271
Procaine	-1.1037	0.424581209
2-Oxoglutaric acid	-1.1006	1.12397856
RICININE	-1.0989	1.925183559
Phenylacetylglycine	-1.0973	0.523922305
Tricin	-1.0913	2.112185849
Ramipril	-1.09	0.879491876
Di-n-butyl phthalate	-1.0897	3.120623096
4-PYRIDOXATE	-1.0852	1.503610098
N-(5-acetamidopentyl)acetamide	-1.0839	0.334175197
Phloroglucinol	-1.0834	1.03128829
4-Methylphenol	-1.0832	0.696113078
Suberic acid	-1.0832	1.374008851
(E)-2-decylpent-2-enedioic acid	-1.0792	0.672089606
N-Acetylmuramic Acid	-1.0781	1.540185487
Jasmonic acid	-1.0776	0.95648054
2-(3-pentadecylphenoxy)acetic acid	-1.0773	3.053125437
Gedunol	-1.0739	0.556799618
4-Aminohippuric acid	-1.0735	1.442168101
Nicotinic acid	-1.0694	1.524939286
"2,4-Dinitrophenol"	-1.0684	0.856516789
4-HYDROXY-L-PROLINE	-1.067	1.094797971
Zeatin	-1.0657	1.656000931
7-Methylguanine	-1.0638	1.214769851
Atractylenolide III	-1.0519	2.522198883
4-oxododecanedioic acid	-1.0511	1.208323383
2-Keto-4-methylthiobutyric acid	-1.051	1.32561657
Nandrolone glucuronide	-1.0495	0.722482467
Indole-3-carboxaldehyde	-1.0483	1.965331444
Bestatin	-1.0478	0.961062081
Docosahexaenoic acid	-1.0478	1.563741914
7-Deacetylkhivorin	-1.0432	1.342771994
"3,4-DIHYDROXYPHENYLACETATE"	-1.0418	0.724988262
9-methoxycarbonyldec-9-enoic acid	-1.0381	2.73346257
Patulin	-1.0342	1.510252394
Shanzhiside methyl ester	-1.0332	1.081586939
Prostaglandin F1alpha	-1.0304	1.894898755
Cymarin	-1.0297	1.786030918
Benzoic acid	-1.0295	2.107805187
Phosphatidylethanolamine lyso alkenyl 18:0	-1.0283	1.826784585
3-Genistein-8-C-glucoside	-1.028	0.390555005
"5,6-Dimethylbenzimidazole"	-1.0276	2.77306516
DL-beta-Leucine	-1.025	1.528913747
7-HDoHE	-1.0244	1.514278574
N-Acetylserotonin	-1.0231	1.451930124
2'-Deoxyinosine-5'-monophosphate sodium salt	-1.0212	0.941460102
Forskolin	-1.0202	1.462243851
(5E)-7-methylidene-10-oxo-4-(propan-2-yl)undec-5-enoic acid	-1.0188	4.074110608
"(5E)-3,4,9-trihydroxy-2-propyl-2,3,4,7,8,9-hexahydrooxecin-10-one"	-1.0155	2.356201999
Pinoquercetin	-1.0136	2.604149624
N-Isovalerylglycine	-1.0131	0.979763056
Doxycycline	-1.0091	0.840252389
Triptolide	-1.0068	2.007548109
Epigallocatechin	-1.0065	1.018367106
Dihydrojasmonic Acid	-1.0056	0.926098442
"4',5,7-trihydroxy-3,6-dimethoxyflavone"	-1.0027	1.885655945
S-Adenosyl-homocysteine	-1.0005	1.201805292
3-Methylxanthine	-0.99898	1.514278574
Cytarabine	-0.99692	1.46122525
Oleamide	-0.99526	1.494565109
4-Guanidinobutyric acid	-0.99168	1.21827334
"2-Amino-1,3,4-octadecanetriol"	-0.98484	1.114604852
Lupulone	-0.9846	1.445825924
4-Thiouridine	-0.98311	1.082231998
Dehydrocholic acid	-0.98002	2.590574131
Hordenine	-0.97429	2.218230269
methyl orsellinate	-0.97048	1.760300203
3-Phosphoglyceric acid	-0.97001	2.275699548
Aflatoxin G2	-0.96342	1.31368555
N-acetyltyramine	-0.96191	1.225023436
2-Methyl-S-benzothiazole	-0.95512	2.371815492
Gibberellic acid	-0.95314	1.164176308
2-Hydroxybenzothiazole	-0.95291	3.767181707
"trans,trans-2,4-Heptadienal"	-0.9521	2.45354371
"1-(2,3-dibenzimidazol-2-ylpropyl)-2-methoxybenzene"	-0.95203	0.882761858
Hydroxyprogesterone	-0.95001	3.062291582
Milbemectin A4	-0.94649	0.465529668
maesopsin	-0.94375	1.631954974
"(12Z)-9,10,11-trihydroxyoctadec-12-enoic acid"	-0.94179	1.322895148
Gyromitrin	-0.9411	2.187654939
"5,7-dihydroxy-4-(4-methoxyphenyl)-3,4-dihydrochromen-2-one"	-0.94107	0.456975515
Pantothenic acid	-0.939	1.69600523
Sebacic acid	-0.93902	2.698904865
Leupeptin Pr-LL	-0.92211	0.577147628
Stercobilin	-0.91336	1.335000959
L-ARABITOL	-0.90748	1.659238708
Naringenin	-0.90696	1.080425108
bisdethiobis(methylthio)gliotoxin	-0.90599	0.414482872
LEVODOPA	-0.9028	2.788052256
Dronedarone	-0.89911	0.559075183
N-ACETYLNEURAMINATE	-0.8979	2.025824636
L-Homocystine	-0.89743	1.539252458
Vanillin	-0.89737	1.386750321
Propylparaben	-0.89375	1.602581458
9-HPODE	-0.88737	1.693768035
Mandelic Acid	-0.88154	1.913996294
Cochlioquinone A	-0.8789	0.986614982
4'-Methoxyacetophenone	-0.87779	0.805014157
Neotame	-0.87665	1.625178362
Grayanotoxin I	-0.8766	2.225249527
Tyramine	-0.87522	1.097855632
Salvinorin A	-0.87495	1.033675198
"1,2Alpha-Epoxydeacetoxydihydrogedunin"	-0.87404	3.275863455
cirsimaritin	-0.87378	2.787599297
3-DEHYDROSHIKIMATE	-0.8737	1.637498676
Moclobemide	-0.87279	0.84569778
Nicotinoylglycine	-0.87262	0.618812693
Uracil	-0.87179	1.3061412
3-Epilupeol	-0.87027	0.905389137
7-Oxocholesterol	-0.8701	0.508204229
Valsartan metabolite	-0.86539	1.15691679
Prolylyphenylalanine	-0.86473	1.15460426
"1,4-Cyclohexanedicarboxylic acid"	-0.86273	0.780127437
Coniferyl aldehyde	-0.86258	1.695746503
6-Methylquinoline	-0.85904	0.54419618
"(2E,4E,12Z)-N-(2-methylpropyl)octadeca-2,4,12-trienamide"	-0.85841	0.754684784
2-methoxy-6-pentadecylbenzoic acid	-0.85779	0.866780543
"7,4'-DIMETHOXYISOFLAVONE"	-0.85621	3.012195248
"(3Z,5E)-4-hydroxy-6-(4-hydroxyphenyl)hexa-3,5-dien-2-one"	-0.85407	1.114604852
Citrazinc acid	-0.85006	0.708497951
L-Cystine	-0.84826	0.954364129
2-Hydroxyhippuric acid	-0.84556	0.683840872
1-Methylguanine	-0.84387	0.906193224
8-Hydroxyquinoline	-0.84244	1.9996961
2-Methylglutaric acid	-0.84216	0.908262717
Beauverolide I	-0.84147	0.672089606
curvularin	-0.8374	2.157590482
"N-cyano-N'-(1,1-dimethylpropyl)-N'-3-pyridinyl-guanidine"	-0.83324	2.657577319
Ctrinin hydrate	-0.833	1.06037593
Lupinine	-0.83066	1.437719034
L-Proline	-0.82963	0.890421453
17alpha-Ethynylestradiol	-0.82834	0.970656812
3-Methylcrotonylglycine	-0.82571	1.437576272
"1,3-Dideacetyl-7-Deacetoxy-7-Oxokhivorin"	-0.82553	0.824894259
Gabapentin Related Compound E	-0.8254	1.971225473
3-Phosphonopropionic acid	-0.82393	2.995162939
3-Dehydrocholic acid	-0.82198	0.636425623
Xanthurenic acid	-0.82095	0.682500779
PANTOLACTONE	-0.81944	1.394307172
Hinokitiol	-0.81736	2.237096472
2'-O-Methylguanosine	-0.81568	0.793632938
"4,5-dihydroxy-3-propylcyclopent-2-en-1-one"	-0.81485	1.506040325
Kainic Acid	-0.81036	0.389893703
Gly-Tyr-Ala	-0.81022	0.334428389
3-[(1-Carboxyvinyl)oxy]benzoic acid	-0.80618	0.443625123
2-Hydroxyphenylalanine	-0.80613	0.69795061
Mycophenolic acid	-0.80421	1.057481021
Quercetin	-0.80059	1.876900045
Shikimic Acid	-0.79934	1.627695698
N-(2-hydroxyphenyl)acetamide	-0.79931	1.762481395
"3,4-Dimethylbenzoic acid"	-0.79668	1.341473483
N-Benzylformamide	-0.79595	1.973671061
4-Methoxycinnamaldehyde	-0.79418	1.672089606
Kynurenic acid	-0.79349	0.941839797
delta7-Dafachronic acid	-0.78439	1.152914962
Captopril	-0.78343	0.498529928
Desferrioxamine B	-0.78186	3.138770359
destruxin A	-0.78155	3.2487671
Folinic acid	-0.78078	0.632905107
Ibuprofen	-0.78044	0.628673486
Daphnoretin	-0.78023	1.272483142
ANETHOLE	-0.78011	2.022248966
Phomalone	-0.78004	2.893435165
Acetylcholine	-0.7764	0.577147628
Sorbitol	-0.77239	0.942257844
