MS2.name	LOG_FOLDCHANGE	负log_10(q-value)
2-hydroxyquinoline	-0.95859	0.98514358
Phosphatidylethanolamine lyso 20:3	-0.95629	0.510182092
4-Hydroxymandelonitrile	-0.95614	0.834251318
2-Methylglutaric acid	-0.95372	0.776945587
2-methyl-2-(3-pentadecylphenoxy)propanoic acid	-0.94285	0.92245042
GUANIDINOACETATE	-0.94225	0.338310335
Maltitol	-0.94046	0.871730005
Phenylalanine	-0.93751	0.464187062
trans-Aconitic acid	-0.93553	0.535987634
"N6,N6,N6-Trimethyl-L-lysine"	-0.93395	0.818814066
kaempferol 7-neohesperidoside	-0.93012	0.474579399
3-oxo-C4-homoserine lactone	-0.92442	1.115476509
Nitazoxanide	-0.91998	1.146977477
Lipoic acid reduced	-0.9104	1.320608448
N-ACETYL-L-LEUCINE	-0.90433	0.201763824
"4,6-dinitro-o-cresol"	-0.89279	0.650023501
PILOCARPINE NITRATE	-0.89145	0.535286954
Choline	-0.89068	0.400160578
Isorhamnetin	-0.88907	0.539673578
Asiaticoside	-0.88663	0.499118876
"1,5-Anhydro-D-glucitol"	-0.88638	1.340368988
L-PIPECOLIC ACID	-0.88277	0.941991767
Betulinic acid	-0.88031	1.024908407
"2,4-dihydroxyheptadec-16-en-1-yl acetate"	-0.87348	0.909988976
(-)-Caryophyllene oxide	-0.87221	1.09016594
Jasmonic acid	-0.86958	1.024908407
7-HDoHE	-0.86211	0.800985729
Theanine	-0.86145	1.088347098
Indole-3-lactic acid	-0.85909	0.39670403
D-PANTOTHENIC ACID	-0.85185	0.645910778
aloesin	-0.85033	0.528972467
albocycline	-0.84378	0.728809161
Stavudine	-0.83647	0.957818405
3-Hydroxyanthranilic acid	-0.83464	0.716857137
3-O-acetylpadmatin	-0.83304	0.63425002
Betulin	-0.83126	0.924672066
N-Methylisoleucine	-0.82861	0.645142761
Acetochlor ESA	-0.82251	0.969845729
Cyclo-prolylglycine	-0.82226	0.391014243
Tricin	-0.82174	0.574759321
"7,4'-DIMETHOXYISOFLAVONE"	-0.82076	0.173374576
Dodecanedioic acid	-0.81974	0.770497338
"8,15-DiHETE"	-0.81759	1.146630371
Phosphatidylinositol lyso 16:0	-0.81125	0.714420189
5-Hydroxyindole-3-acetic acid	-0.81071	0.63425002
Homopterocarpin	-0.80625	0.516141799
Docosanoic Acid	-0.80517	0.554380231
Benzylsuccinic acid	-0.80355	0.892281389
(+/-)15-HETE	-0.80154	0.562059277
Methioninesulfoxide	-0.79895	0.211421577
afzelechin	-0.79816	0.909318796
Enterodiol	-0.79609	0.658110644
4-Chlorophenol	-0.79593	0.276733193
geniposide	-0.79206	0.343643024
cyclopenin	-0.78159	0.564394498
2-Oxindole	-0.77792	0.360712774
3-Gal(1-2)GluA Soyasapogenol B	-0.77694	0.447064234
5-Aminonaphthalene-2-sulfonic acid	-0.77439	0.657439157
Phthalic acid	-0.76955	1.346420903
Asparagine	-0.76727	0.293504114
N-Arachidonoyl dopamine	-0.76321	0.818814066
2-QUINOLINECARBOXYLIC ACID	-0.75997	0.734356858
Formononetin	-0.75926	0.343058954
Vulpinic Acid	-0.75763	1.807739281
Heneicosanoic acid	-0.75752	0.525273958
2-acetoxy-6-pentadecylbenzoic acid	-0.75688	0.341254265
4-Methylcatechol	-0.74986	0.219646678
ASCORBIC ACID	-0.74871	0.77237035
Secobarbital	-0.74676	0.216947271
N4-Acetylsulfamethazine	-0.74312	0.842331727
7-Hydroxy-4-methylcoumarin	-0.74044	0.856048884
Gentisic acid	-0.73541	0.397625259
Nimodipine	-0.73373	0.645142761
(+/-)-Cannabichromeorcin	-0.73079	0.979390147
N-Formylmethionine	-0.73018	0.753698423
Corticosterone	-0.72944	1.118193238
tetranor-12(R)-HETE	-0.7286	0.877554744
Phosphatidylglyceride 18:2-22:6	-0.72477	0.449881764
Phosphatidylethanolamine lyso 16:0	-0.72438	1.024908407
3-(4-Hydroxyphenyl)-1-propanol	-0.71983	0.703137448
Nicotinoylglycine	-0.71921	0.301316725
Pyridoxine	-0.71751	0.818814066
3-Genistein-8-C-glucoside	-0.70799	0.191471696
2-Oxoglutaric acid	-0.70679	0.396520018
N-Acetylornithine	-0.70634	0.646487683
N-Acetylphenylalanine	-0.7032	0.647624505
Gibberellic acid	-0.69868	0.379499582
Quinolinic acid	-0.69834	0.593238471
Phenothiazine	-0.69831	0.709564686
"2,3',4,6-Tetrahydroxybenzophenone"	-0.69798	1.068150729
Pimelic acid	-0.6948	0.93674172
Tyrosine	-0.6948	0.882297939
salicin	-0.69374	0.709053215
"5-{8(Z),11(Z)-pentadecadienyl}resorcinol"	-0.68495	1.237208939
Glycodeoxycholic Acid (hydrate)	-0.68414	0.354391083
5-Demethylnobiletin	-0.684	0.553431769
Lupulone	-0.68149	0.759675445
Ergosterol Peroxide	-0.68082	0.568073626
5-Aminosalicylic?acid	-0.67673	0.743089918
"1-(2,3-dibenzimidazol-2-ylpropyl)-2-methoxybenzene"	-0.67633	0.666250538
Coniferyl aldehyde	-0.67629	0.49268396
"N3,N4-Dimethyl-L-arginine"	-0.67392	0.842059944
Xanthurenic acid	-0.67202	0.334362733
L-Threonic acid	-0.66957	0.660528683
GENTAMICIN SULFATE	-0.6686	0.131637739
Cholecalciferol	-0.6651	0.834251318
Propentofylline	-0.66296	0.657379957
Shikimic Acid	-0.66147	0.993020809
"N,N-Diethylethanolamine"	-0.6602	0.278016361
DL-Mandelic acid	-0.65885	0.392802413
Flunixine	-0.65607	0.352069616
Flecainide	-0.65571	0.268113213
Mono(2-ethylhexyl) phthalate (MEHP)	-0.65472	0.925073903
Hematoxylin	-0.65168	0.732382468
Quebrachitol	-0.6514	0.400106016
Thymidine	-0.65031	0.516156053
3-Hydroxybutyric acid	-0.6463	0.449881764
Gallocatechin	-0.64623	0.140951815
Uridine monophosphate (UMP)	-0.642	0.417289089
3-hydroxy-C4-homoserine lactone	-0.64033	0.907911261
Desoxycortone	-0.64005	0.717695172
"3,4-Dimethylbenzoic acid"	-0.63976	0.24960733
L-GLUTAMINE	-0.63715	0.265232164
Thymine	-0.63709	0.462659522
"Epoxy (4,5Alpha)-4,5-Dihydrosantonin"	-0.63573	0.682814492
Glycylproline	-0.63509	0.819788078
2-Oxobutyric acid	-0.63188	0.846459514
gamma-Glutamyltyrosine	-0.63115	0.297517765
13-HpOTrE(r)	-0.63104	0.485731242
DL-Tryptophan	-0.63046	0.347540916
Salidroside	-0.63003	0.535108238
DL-Arginine	-0.62966	0.300448431
"1,2-dihydroxyheptadec-16-yn-4-yl acetate"	-0.62424	0.21603928
Physostigmine	-0.62387	0.225877363
LIGUSTILIDE	-0.62351	0.717423199
Alanine	-0.61684	0.479149797
Apigenin	-0.61412	0.267348957
cis-Aconitic acid	-0.61407	0.527185064
Primidone (Mysoline)	-0.60914	0.542360286
Estrone	-0.60698	0.652884745
3-Ureidopropionic acid	-0.60165	0.408323358
D-(+)-Pyroglutamic Acid	-0.6013	0.858268105
Riluzole	-0.60005	0.516141799
6-Methylnicotinamide	-0.59462	0.337790103
skimmin	-0.59233	0.658110644
3-METHYLADENINE	-0.59179	0.449881764
4-Pyridoxic acid	-0.59152	0.738998977
Oleic acid	-0.58997	0.337790103
Nootkatone	-0.58972	0.606951534
N-Acetylalanine	-0.58678	0.462193493
L-Alanyl-L-proline	-0.58619	0.871730005
D-alpha-Hydroxyglutaric acid	-0.58454	0.666250538
Norfenefrine	-0.58194	0.39421028
2-methoxy-6-pentadecylbenzoic acid	-0.58186	0.645142761
Phosphatidylinositol lyso 18:1	-0.57898	0.641437023
D-Gluconic acid	-0.57807	0.522748476
MONO-METHYL GLUTARATE	-0.57762	1.406569931
Salvinorin A	-0.57646	0.540592433
Juglalin	-0.57545	0.597326019
Epigallocatechin	-0.5743	0.996108834
trans-Cinnamic acid	-0.57355	0.535286954
Hypoxanthine	-0.57061	0.429095299
"2',3'-Dideoxyinosine"	-0.56876	0.307179509
Kinetin	-0.56553	0.550922911
Metolachlor OXA	-0.55951	0.253062368
2'-O-Methyluridine	-0.55054	0.650683611
2-(3-pentadecylphenoxy)acetic acid	-0.54366	0.924672066
3-(4-Hydroxyphenyl)propionic acid	-0.54341	0.285318252
L-Phenylalanine	-0.54081	0.628784318
Alanyltyrosine	-0.53935	0.413694065
"(2R)-2-[(2R,5S)-5-[(2S)-2-hydroxybutyl]oxolan-2-yl]propanoic acid"	-0.53844	0.597326019
Mepacrine	-0.53688	0.360274515
DL-Glutamine	-0.53579	0.578972224
Dihydrothymine	-0.53484	0.436839414
Adenosine	-0.53059	0.18938445
2'-Deoxyinosine	-0.52841	0.449172612
N-Acetyl-L-glutamine	-0.52802	0.297026934
2-OXOADIPATE	-0.52556	0.408479067
Catechol	-0.52422	0.532243949
2-(3-Hydroxycyclohexyl)-5-(2-methyl-2-octanyl)phenol	-0.52296	0.375800438
3-GluA Soyasapogenol B	-0.51693	0.325497093
"5-hydroxy-3,7-dimethoxy-2-(4-methoxyphenyl)-4H-chromen-4-one"	-0.51667	0.318767811
4-PYRIDOXATE	-0.51553	0.228008541
Nicotinic acid	-0.51435	0.625031814
13-HpOTrE	-0.51287	0.510350837
Uracil	-0.5125	0.514903499
Ochrephilone	-0.51221	0.658110644
Glutamine (D)	-0.5121	0.190743387
Phosphatidylethanolamine lyso 18:0	-0.5111	0.341912251
Gedunol	-0.50722	0.23665438
D-(+)-Malic acid	-0.50698	0.45832093
LEVODOPA	-0.50648	0.539673578
Upsilon-L-Glutamyl-L-glutamic acid	-0.50382	0.245017507
13(S)-HOTrE	-0.50333	0.594978244
5-(4-methyl-5-oxo-2H-furan-3-yl)pentanoic acid	-0.50313	0.717695172
"5,10-dimethoxy-2,2-dimethylpyrano[3,2-g]chromen-8-one"	-0.50254	0.202760166
N-ACETYL-L-ALANINE	-0.50183	0.202607799
methyl orsellinate	-0.50069	0.338907004
terrein	-0.49871	0.177308989
Ribose	-0.49491	0.892281389
3-O-methylfunicone	-0.49257	0.221009924
15-OxoETE	-0.49178	0.77994424
5-Hydroxy Diclofenac	-0.49135	1.059035507
"2-Hydroxy-3,4-Dimethoxybenzoic Acid"	-0.49129	0.163492329
GUAIAZULENE	-0.4885	0.682814492
Glycine	-0.48512	0.608306423
"2,2-Bis(hydroxymethyl)propionic acid"	-0.48504	0.29556634
Phosphatidylethanolamine lyso 22:6	-0.48449	0.285318252
Carylophyllene Oxide	-0.48312	0.400106016
Picrotin	-0.48077	0.454730004
3-Epilupeol	-0.47832	0.299123292
Hexadecanedioic acid	-0.47699	0.501923891
Tomelukast	-0.4767	0.510196151
Suberic acid	-0.4748	0.396520018
Phosphatidylethanolamine 18:2-18:2	-0.47352	0.433857244
"2,8-quinolinediol"	-0.47328	0.346459477
15-OxoEDE	-0.47263	0.822896568
Pyruvic acid	-0.47186	0.462659522
Piceatannol	-0.47144	0.466189825
Marticin	-0.4711	0.565542877
Abruquinone B	-0.46568	0.210666116
Phosphatidylinositol 16:0-18:1	-0.46502	0.112832979
Serine	-0.46432	0.847069864
alpha-Linolenoyl ethanolamide	-0.46296	0.738998977
5-O-methyllicoricidin	-0.46254	1.106548956
Nor-9-carboxy-delta9-THC	-0.46153	0.240959503
"cis-5,8,11,14,17-Eicosapentaenoic acid"	-0.45994	0.737050825
Prolylyphenylalanine	-0.45951	0.328716051
Trehalose	-0.45884	0.535108238
"3,4,5-trimethoxycinnamic acid"	-0.45834	0.372695605
3-Isochromanone	-0.45733	0.511900733
monolinolein	-0.45617	0.286375073
Taurine	-0.4542	0.217455716
"3,5-dihydroxydecanoic acid"	-0.45288	0.612592375
ADONITOL	-0.45258	0.487822755
Fenhexamid	-0.45166	0.282637439
"3,4-Dimethoxycinnamic acid"	-0.45141	0.265232164
"2,3-dinor Prostaglandin E1"	-0.44732	0.651870448
trans-3-Indoleacrylic acid	-0.44364	0.257431966
5-HYDROXY-L-TRYPTOPHAN	-0.44209	0.337790103
Gabapentin Related Compound E	-0.43686	0.732124581
Aflatoxin G2	-0.43209	0.245002238
(+/-)9-HpODE	-0.43167	0.469480144
Cynaroside	-0.4313	0.321791291
Creatinine	-0.42807	0.219229184
2-(2-amino-3-methylbutanamido)-3-phenylpropanoic acid	-0.4272	0.479149797
monoolein	-0.42569	0.569457346
2-Hydroxyisovaleric acid	-0.41977	0.224739167
Indole-3-carboxylic acid	-0.41776	0.392309128
7-Hydroxymitragynine	-0.41683	0.563169721
"DL-3,4-Dihydroxymandelic acid"	-0.40849	0.088576035
2'-O-Methylinosine	-0.40648	0.271232415
Proline-hydroxyproline	-0.40297	0.326896115
1-Methylguanine	-0.40174	0.320581189
p-Coumaraldehyde	-0.40161	0.433857244
(+/-)13-HpODE	-0.40035	0.409760222
(5Z)-3-aminonon-5-enoic acid	-0.40021	0.331120424
"6,7,3',4'-Tetrahydroxyflavanone"	-0.39958	0.1693536
(+/-)9(10)-DiHOME	-0.39737	0.509676248
3-Hydroxydecanoic acid	-0.39616	0.447989197
PHYSOSTIGMINE SALICYLATE	-0.38936	0.153792824
L-Homocystine	-0.38807	0.401231373
4-AMINOBUTANOATE	-0.38684	0.375800438
Pyridoxal	-0.38453	0.599306625
4-O-Methylphloracetophenone	-0.38444	0.208758611
"ethyl 2-(2-acetyl-3,5-dihydroxyphenyl)acetate"	-0.38189	0.23820743
O-ACETYL-L-CARNITINE	-0.38112	0.588346629
Cetirizine	-0.3802	0.335057319
5-HYDROXYINDOLEACETATE	-0.37896	0.222768981
Nicotinamide	-0.37693	0.455361543
Valsartan metabolite	-0.37505	0.316889895
gamma-Glutamylmethionine	-0.37438	0.158922224
"1,4-dihydroxyheptadec-16-en-2-yl acetate"	-0.37425	0.205930416
"3,8,9-trihydroxy-10-propyl-3,4,5,8,9,10-hexahydro-2H-oxecin-2-one"	-0.37275	0.271329745
Acetophenone	-0.37131	0.171862344
Roquefortine C	-0.371	0.239441821
Hydrocortisone	-0.37087	0.459920911
Arachidic acid	-0.36985	0.29556634
"9-Oxo-10(E),12(E)-octadecadienoic acid"	-0.36871	0.618848805
"5,6-DIHYDROURACIL"	-0.36755	0.278354234
Isosakuranin	-0.36453	0.232473101
Coniferylaldehyde	-0.36149	0.249314221
Sulfocholic acid	-0.35952	0.447587326
"6-benzyl-4-oxo-1,4-dihydropyridine-3-carboxamide"	-0.35935	0.411862805
Caryophyllene [T(-)]	-0.35767	0.193731819
"methyl 2-(2,6-dihydroxy-4-methylbenzoyl)-3,5-dimethoxybenzoate"	-0.35547	0.339646874
Diethyloxalpropionate	-0.3551	0.262632402
4-Guanidinobutyric acid	-0.3545	0.124516229
"3,4-Dihydroxy-L-phenylalanine"	-0.35358	0.225877363
Cannabichromevarin	-0.35285	0.511943081
Ferulic acid	-0.34848	0.308759325
"(12Z)-9,10,11-trihydroxyoctadec-12-enoic acid"	-0.34822	0.312622667
L(+/-)-Alliin	-0.34806	0.297474687
Linoleic acid	-0.34764	0.957463863
3-Hydroxytyramine	-0.34745	0.590100675
Zeatin	-0.34736	0.361460827
Phenylethyl 2-Glucoside	-0.34657	0.173756698
Taurodeoxycholic Acid (sodium salt)	-0.34607	0.129713171
D-Glucosamine	-0.34359	0.347405589
7-Oxocholesterol	-0.33734	0.201763824
picein	-0.33553	0.112945622
N-Acetyl-L-tyrosine	-0.32968	0.171282115
Sebacic acid	-0.32954	0.457934319
PSEUDO-ANISATIN	-0.32744	0.451745744
"16-Heptadecyne-1,2,4-triol"	-0.32657	0.472022287
"1,2-dihydroxyheptadec-16-en-4-yl acetate"	-0.3255	0.318550713
Histamine	-0.32124	0.060475756
N-Acetylserotonin	-0.31764	0.229133267
"4,6,8-trihydroxy-7-methoxy-3-methyl-3,4-dihydroisochromen-1-one"	-0.31678	0.105030771
2'-O-Methylguanosine	-0.31455	0.307179509
Hymecromone	-0.3145	0.267348957
7-Methylguanine	-0.31154	0.325414398
Laudanosine	-0.31073	0.30835279
"4',5,7-trihydroxy-3,6-dimethoxyflavone"	-0.30969	0.202760166
Prolylglycine	-0.30753	0.202282467
Sotalol	-0.30662	0.271232415
N-Methylanthranilic Acid	-0.30547	0.312560225
Daidzein	-0.30537	0.091021988
5-Methylcytidine	-0.30321	0.314688291
Leucylleucyltyrosine	-0.30015	0.501386235
Protoporphyrin IX	-0.29907	0.209236461
Arachidonic acid	-0.29483	0.266433621
Napelline	-0.29482	0.554380231
L-Lysine	-0.29276	0.25051104
Hexanoylglycine	-0.2921	0.336346181
Sulfanilic acid	-0.29111	0.329373842
HYDROQUINONE	-0.29015	0.312560225
L-Serine	-0.28584	0.275707742
"13,14-Dihydro-15-keto Prostaglandin A2"	-0.28393	0.257431966
Docosahexaenoic acid	-0.28243	0.444651582
PANTOLACTONE	-0.2819	0.433456452
Taurodeoxycholic Acid	-0.28135	0.144583827
Sedanolide	-0.27952	0.408479067
Chloridazon	-0.27831	0.337790103
Sucrose	-0.27657	0.245835208
Indole	-0.27626	0.464187062
L-METHIONINE	-0.27553	0.307179509
Hydrocotarnine	-0.27549	0.273794584
1-Hydroxy-2-naphthoic acid	-0.27333	0.306730444
N-(5-acetamidopentyl)acetamide	-0.27267	0.222768981
4-deoxyphloridzin	-0.27231	0.087352894
Astilbin	-0.27189	0.094743951
4-Oxoproline	-0.2715	0.215660916
O-Desmethyltramadol	-0.26986	0.650256366
Linoleoyl Ethanolamide	-0.26881	0.34554429
onopordopicrin	-0.26877	0.158484112
