MS2.name	LOG_FOLDCHANGE	负log_10(q-value)
Dihydrokaempferol	-1.7003	0.733933
"1,3,6-trihydroxy-2-(3-methylbut-2-enyl)xanthen-9-one"	-1.6869	0.60873
Formononetin	-1.6743	0.608977
Rubone	-1.6525	0.36516
Nicotinuric acid	-1.649	0.494552
Bufexamac	-1.6256	0.311429
"2,4-dihydroxyheptadec-16-en-1-yl acetate"	-1.6163	1.614716
Sinapic acid	-1.6113	0.380051
Pipecolic acid	-1.6039	0.77513
Citrazinc acid	-1.6037	0.518643
Prulaurasin	-1.6016	0.38051
Cryptotanshinone	-1.592	0.584176
4-Vinylphenol	-1.5915	0.777466
GUANIDINOACETATE	-1.5665	0.448672
Deacetylgedunin	-1.5643	0.323142
5-Methyluridine	-1.549	0.745863
"1,7-bis(4-hydroxyphenyl)heptane-3,5-diol"	-1.5477	0.511238
Guanosine	-1.5458	0.4467
Luteolin	-1.542	0.603086
Cyclo(proline-leucine)	-1.539	1.346662
3-Methoxyphenylacetic acid	-1.5387	1.808829
"4-Hydroxy-2',4',6'-trimethoxychalcone"	-1.5302	0.242027
Creatinine	-1.5187	0.623168
Lumazine	-1.5022	0.751144
Paracetamol	-1.501	0.621729
phenylglucoside	-1.4843	1.371897
Asparagine	-1.4519	0.499379
Methioninesulfoxide	-1.4475	0.314222
2-Hydroxyhippuric acid	-1.4465	0.486689
Phosphatidylglyceride 18:2-22:6	-1.4231	0.726119
3-Hydroxyanthranilic acid	-1.4219	0.991826
4- Carboxyphenylglycine	-1.4151	0.742106
4-Guanidinobutyric acid	-1.4149	0.433669
4-Thiouridine	-1.4067	0.620749
ISOPALMITIC ACID	-1.4023	0.698449
Daidzein	-1.3975	0.387863
Parfumine	-1.3936	0.295283
gamma-Glutamylmethionine	-1.3789	0.478627
M-Coumaric acid	-1.3776	1.164379
Secobarbital	-1.3444	0.324313
Isobutyric acid	-1.3243	0.977902
7-Hydroxy-3-Methylflavone	-1.3205	0.464643
"1,4-Androstadiene-3,17-dione"	-1.3088	0.925805
Salvinorin B	-1.3037	0.947114
"7,4'-DIMETHOXYISOFLAVONE"	-1.3015	0.230652
N-Acetylcysteine	-1.2999	0.377268
6-Hydroxycaproic acid	-1.2926	0.948462
7alpha-Voacangine hydroxyindolenine	-1.2869	0.318099
3-Genistein-8-C-glucoside	-1.2783	0.302814
Aspartame	-1.2594	0.507813
Gallic acid	-1.2586	0.345689
Gentisic acid	-1.2525	0.516841
Urocanic acid	-1.2384	0.831267
Docosanoic Acid	-1.2286	0.721109
picein	-1.2236	0.356202
GENTAMICIN SULFATE	-1.1942	0.210758
Sinomenine	-1.1896	0.256718
5-Demethylnobiletin	-1.1727	1.125188
adrenosterone	-1.1693	1.428839
Prostaglandin A1 ethyl ester	-1.1671	0.934084
3-Hydroxyphenylacetic acid	-1.1647	0.913676
Dihydrocoumarin	-1.1637	0.913676
Corticosterone	-1.1634	1.332043
Inosine	-1.1583	0.396293
Apigenin	-1.1498	0.44568
"3,4-DIHYDROXYPHENYLACETATE"	-1.1446	0.742106
Adenosine	-1.1435	0.575837
2-Hydroxyisovaleric acid	-1.1407	0.509101
DL-Tryptophan	-1.1368	0.598944
3-Hydroxymandelic acid	-1.1325	1.032803
O-Desmethyltramadol	-1.1316	2.465707
Tricin	-1.127	0.714758
Roquefortine C	-1.1264	0.751144
3-(2-amino-2-oxoethyl)-5-methyl-hexanoic acid	-1.1167	0.313507
Gallocatechin	-1.1063	0.187809
Pseudouridine	-1.091	0.406847
3-Methylxanthine	-1.0899	0.29001
Norfenefrine	-1.0717	0.636745
Indole-3-lactic acid	-1.0653	0.432915
GUAIAZULENE	-1.0633	1.332043
"2-Amino-1,3,4-octadecanetriol"	-1.0617	0.311055
Cynaroside	-1.0561	0.672294
geniposide	-1.0559	0.345371
13-HpOTrE(r)	-1.0523	0.846612
Butabarbital	-1.0423	0.549258
"1,4-dihydroxyanthraquinone"	-1.0411	0.391517
3-oxo-C14 homoserine lactone	-1.0371	0.476319
HYDROQUINONE	-1.0368	0.913676
URSODIOL	-1.0241	0.977242
L-(+)-Lactic acid	-1.0206	0.703159
3-(4-Hydroxyphenyl)propionic acid	-1.0185	0.456366
N-Acetyl-L-glutamine	-1.0135	0.499379
Sulcatol	-1.011	1.972121
Murocholic acid	-1.0097	0.523081
Thymidine	-1.009	0.733933
Mepacrine	-1.0084	0.631713
Ergosterol Peroxide	-1.0035	0.843784
N-Formylmethionine	-0.99588	1.041059
"1,2-dihydroxyheptadec-16-yn-4-yl acetate"	-0.99558	0.397387
monolinolein	-0.98823	0.56002
PSEUDO-ANISATIN	-0.98524	1.855893
Dihydrothymine	-0.9718	0.623168
Phenylethyl 2-Glucoside	-0.94854	0.409571
PHYSOSTIGMINE SALICYLATE	-0.94219	0.345371
O-Succinylhomoserine	-0.93222	0.437362
Thymine	-0.93123	0.606635
Tebufenozide	-0.92896	0.486689
7-Oxocholesterol	-0.91685	0.544196
Sedanolide	-0.91252	1.635355
Indapamide	-0.90953	0.512593
4-Aminophenol	-0.9089	0.598427
N-Acetylhistamine	-0.9055	0.170169
2'-O-Methylinosine	-0.90307	0.556941
Derrusnin	-0.89626	0.8173
Bilirubin	-0.88626	0.251517
albocycline	-0.88556	0.733933
5-Hydroxy Diclofenac	-0.87626	1.894762
trans-3-Indoleacrylic acid	-0.87422	0.520612
O-ACETYL-L-CARNITINE	-0.86904	1.628637
Phosphatidylinositol lyso 18:0	-0.8666	0.343633
(5Z)-3-aminonon-5-enoic acid	-0.86629	0.726119
Itaconic acid	-0.8645	1.613465
"2,2-Bis(hydroxymethyl)propionic acid"	-0.86106	0.461841
DEOXYRIBOSE	-0.85195	0.471418
"3,5-dihydroxydecanoic acid"	-0.83628	0.948616
"3-[(Z)-heptadec-10-enyl]benzene-1,2-diol"	-0.83115	1.526236
Heneicosanoic acid	-0.82995	0.475968
Marticin	-0.82633	0.88941
D-Gluconic acid	-0.82304	0.657972
trans-Aconitic acid	-0.81265	0.390288
Benzyl 6-O-beta-D-glucopyranosyl-beta-D-glucopyranoside	-0.81237	0.345371
"1,5-Anhydro-D-glucitol"	-0.81118	1.121495
N-Isovalerylglycine	-0.80863	0.207048
Alanyltyrosine	-0.80785	0.585311
LIGUSTILIDE	-0.80784	0.890185
L-Threonic acid	-0.80567	0.733933
Menaquinone-4	-0.80296	0.703159
Phloroglucinol	-0.80051	0.249052
Nitazoxanide	-0.79871	0.771677
2-hydroxyquinoline	-0.79277	0.648088
5-(4-methyl-5-oxo-2H-furan-3-yl)pentanoic acid	-0.79164	1.093886
3-(4-Hydroxyphenyl)-1-propanol	-0.78991	0.726119
1-Hydroxy-2-naphthoic acid	-0.78917	0.765129
Histamine-trifluoromethyltoluide	-0.7869	0.527287
N-Acetyl-D-alloisoleucine	-0.78453	0.660549
Emodin	-0.7844	0.583476
"1,4-dihydroxyheptadec-16-en-2-yl acetate"	-0.78372	0.381544
Patulin	-0.77676	0.50579
Hymecromone	-0.77377	0.538637
Serine	-0.77058	0.985816
Benzylsuccinic acid	-0.76245	0.776037
Cytarabine	-0.76075	0.338168
Taurine	-0.75899	0.247314
Ferulic acid	-0.75892	0.524474
Betulin	-0.75814	0.673111
Sulfanilic acid	-0.74952	1.049757
L-Aspartic acid	-0.74767	0.525769
Sulfaquinoxaline	-0.73321	0.525769
cis-Aconitic acid	-0.72963	0.474657
7-Hydroxymitragynine	-0.72957	0.808577
Caryophyllene [T(-)]	-0.72952	0.396293
Aleuretic Acid	-0.72916	0.657972
"2,3-dinor Prostaglandin E1"	-0.72863	0.83538
"2',3'-Dideoxyinosine"	-0.72236	0.345371
Hordenine	-0.71995	0.913676
N-ACETYL-L-ASPARTIC ACID	-0.71425	0.762582
Droperidol	-0.70828	0.215632
Enterodiol	-0.70468	0.519921
"4-methyl-5-oxo-2-pentyl-2,5-dihydrofuran-3-carboxylic acid"	-0.70421	0.896265
Tyrosine	-0.69167	0.812592
Salicylic acid	-0.68989	0.304256
N-Methylanthranilic Acid	-0.6891	0.636745
Ursolic acid	-0.68705	0.381314
herniarin	-0.68547	0.680894
Phosphatidylinositol lyso 16:0	-0.68477	0.498749
S-Adenosyl-homocysteine	-0.68349	0.734475
Metaxalone	-0.68347	0.617983
ASCORBIC ACID	-0.68213	0.633652
5-Methylcytidine	-0.67262	0.769398
Xanthurenic acid	-0.6717	0.218546
Ribose	-0.66988	1.068562
Tetradecanedioic acid	-0.6681	0.525769
Uridine monophosphate (UMP)	-0.66654	0.463366
2-Benzothiazolesulfonic acid	-0.66553	1.091086
Coniferylaldehyde	-0.66385	0.508526
2-Methylbutyl beta-D-glucopyranoside	-0.65982	0.851984
Protoporphyrin IX	-0.65745	0.422865
2-Methylglutaric acid	-0.65673	0.499379
Methotrexate	-0.65567	0.769117
Syringic Acid	-0.64875	0.38214
Estrone	-0.64826	0.690668
8-(2-hydroxy-3-methoxy-3-methylbutyl)-7-methoxychromen-2-one	-0.64248	0.83538
PILOCARPINE NITRATE	-0.64178	0.36213
5-Hydroxyindole-3-acetic acid	-0.6403	0.409325
5-O-methyllicoricidin	-0.63987	1.227011
Celastrol	-0.63965	0.633652
RICININE	-0.63956	0.977902
Mevalonic acid	-0.63798	0.471276
N-Acetylvaline	-0.63327	0.335988
Indole-2-carboxylic acid	-0.63303	0.54106
N-Tigloylglycine	-0.63296	0.171108
Leupeptin Pr-LL	-0.62707	0.316935
Diffractaic Acid	-0.62637	0.36637
FAHFA 36:2	-0.6262	1.155715
Chloridazon	-0.62412	1.136606
2-Hydroxycinnamic acid	-0.61781	0.103441
"1,7-bis(4-hydroxyphenyl)-5-methoxyheptan-3-one"	-0.61601	0.520972
raspberry ketone	-0.61191	0.50579
Bezafibrate	-0.60961	0.5018
13(S)-HOTrE	-0.60711	0.528679
3-Methylcrotonylglycine	-0.59902	0.776608
DL-alpha-Aminocaprylic acid	-0.59881	0.535183
maesopsin	-0.59876	0.366976
Ctrinin hydrate	-0.59635	0.669891
Linoleic acid	-0.59015	0.977902
Indole-3-carboxylic acid	-0.58598	0.514364
Hexadecanedioic acid	-0.58275	0.508526
5-Methoxysalicylic acid	-0.58134	0.494552
Gyromitrin	-0.58124	0.745863
Histamine	-0.58024	0.136445
ADONITOL	-0.57675	0.486689
Phthalic acid	-0.57551	0.930258
Anabasine Hydrochloride	-0.57183	0.345708
Triphenylphosphate	-0.56592	0.377682
(+/-)9-HpODE	-0.56341	0.499379
Tiglic acid	-0.563	0.667784
Telmisartan	-0.55408	0.253031
Pantothenic acid	-0.55262	0.413379
6-Methylnicotinamide	-0.55159	0.330999
Phloretin	-0.54609	0.245354
2-QUINOLINECARBOXYLIC ACID	-0.54556	0.440596
4-Hydroxybenzotriazole	-0.54478	0.380051
Deoxycorticosterone 21-glucoside	-0.54412	0.280702
L(-)-Carnitine	-0.53989	0.434695
"3,3-Dimethylglutaric acid"	-0.53883	0.345371
Prunin	-0.53848	0.311491
D-(+)-Pyroglutamic Acid	-0.53841	0.631713
2'-Deoxyinosine	-0.53824	0.377268
Sotalol	-0.53795	0.480316
N-Acetylglycine	-0.53501	0.278767
Deoxynivalenol 3-glucuronide	-0.53495	0.347986
Nicotine	-0.53491	0.405762
gamma-Glutamyltyrosine	-0.53432	0.253031
Pyridoxine	-0.53327	0.53152
3-Hydroxybutyric acid	-0.53243	0.472215
2-Hydroxyisocaproic acid	-0.53072	0.204676
N-Glycolylneuraminic acid	-0.52981	0.299132
"1,7-Dideacetoxy-1,7-Dioxo-3-Deacetylkhivorin"	-0.52855	0.7597
Citric acid	-0.52795	0.195915
rosmarinic acid	-0.52742	0.140435
Arachidic acid	-0.52721	0.494552
3-Epilupeol	-0.52455	0.254519
Methyl-beta-galactopyranoside	-0.52413	0.187809
3-Deoxo-3Beta-Hydroxymexicanolide 16-Enol Ether	-0.52325	0.20303
Alverine Citrate	-0.52135	0.840373
Pimelic acid	-0.51226	0.664622
L-alpha-Phosphatidylethanolamine (Soy)	-0.51099	0.14716
2'-Hydroxy-a-naphthoflavone	-0.51065	0.231636
Phenylalanine	-0.50797	0.166866
Hydrocortisone	-0.50209	0.434412
(Z)-2-octylpent-2-enedioic acid	-0.49964	0.544105
DL-Stachydrine	-0.49947	0.380051
cis-4-Hydroxy-D-proline	-0.49844	0.518643
"2,3-Dideoxyuridine"	-0.49693	0.54106
Succinic acid	-0.49628	0.256718
Perseitol	-0.49072	0.220512
Eicosenoic acid	-0.48751	0.572352
Triptolide	-0.48727	0.912467
O-SUCCINYL-L-HOMOSERINE	-0.4865	0.36637
Taurodeoxycholic Acid	-0.48466	0.181933
Flunixine	-0.4845	0.227414
"13,14-dihydro-15-keto-tetranor Prostaglandin E2"	-0.48228	0.843784
"3,14-dihydro-15-keto-tetranor Prostaglandin E2"	-0.48179	0.388765
"15-Deoxy-delta12,14 -Prostaglandin J2"	-0.48179	0.494809
Resibufogenin	-0.47659	0.247806
Thymol-beta-D-glucoside	-0.47526	0.871052
Dodecanedioic acid	-0.47373	0.397387
3-[4-methyl-1-(2-methylpropanoyl)-3-oxocyclohexyl]butanoic acid	-0.47332	0.380448
3-UREIDOPROPIONATE	-0.47238	0.256718
L-Phenylalanine	-0.47194	0.456093
Chrysanthemic Acid	-0.47002	0.45628
3-oxo-C4-homoserine lactone	-0.46898	0.56002
Beta-Caryophyllene Alcohol	-0.4655	0.377268
2-methyl-2-(3-pentadecylphenoxy)propanoic acid	-0.46463	0.36637
Sulfamethazine	-0.46387	0.83538
Valine	-0.46336	0.403986
Acamprosate	-0.46252	0.278767
Citrinin	-0.46145	0.741794
Prazosin HCl	-0.46069	0.963172
N-(2-hydroxyphenyl)acetamide	-0.46015	0.354303
(+/-)9(10)-DiHOME	-0.45772	0.411179
"(2S,3S)-(-)-3-Phenylglycidol"	-0.45768	0.499379
monoolein	-0.45483	0.463656
2-(3-pentadecylphenoxy)acetic acid	-0.45208	0.524474
Diflucortolone pivalate	-0.44638	0.88941
4-HYDROXY-L-PROLINE	-0.44541	0.733933
N-Acetylalanine	-0.44504	0.339941
Upsilon-L-Glutamyl-L-glutamic acid	-0.44471	0.198617
2-Methoxy-4-vinylphenol	-0.44272	0.30579
tetranor-12(R)-HETE	-0.44063	0.463656
4-Acetamidobutanoic acid	-0.43774	0.305781
hydroquinidine	-0.43535	0.660549
2-(3-(8-hydroxyoctyl)phenoxy)acetic acid	-0.43462	0.313668
Fenhexamid	-0.43257	0.242536
Coniferyl aldehyde	-0.4324	0.260887
Catechin	-0.43182	0.181781
Riluzole	-0.43103	0.44998
DL-Glutamine	-0.43101	0.405254
2-Oxoglutaric acid	-0.42918	0.184031
Lunarine	-0.42877	0.274775
"7-methoxy-6-(1,2,3-trihydroxy-3-methylbutyl)chromen-2-one"	-0.42821	0.158021
2-methoxy-6-pentadecylbenzoic acid	-0.42735	0.410017
Paeonol	-0.42417	0.172508
D-alpha-Hydroxyglutaric acid	-0.41846	0.533666
Abruquinone B	-0.4131	0.170169
wogonin	-0.4124	0.494552
5-HYDROXY-L-TRYPTOPHAN	-0.41189	0.248221
Homopterocarpin	-0.41174	0.2031
9-Methyluric acid	-0.41135	0.249052
N-Acetyl-DL-norvaline	-0.41052	0.254699
Hydrocotarnine	-0.40849	0.415974
Stearoyl ethanolamide	-0.4084	0.219726
L-Glutamic acid	-0.40802	0.690668
Carylophyllene Oxide	-0.408	0.300934
"(2R)-2-[(2R,5S)-5-[(2S)-2-hydroxybutyl]oxolan-2-yl]propanoic acid"	-0.40729	0.352382
9-HPODE	-0.40686	0.844027
N-Isobutyrylglycine	-0.40653	0.102796
Creatine	-0.40613	0.729414
DL-Mandelic acid	-0.40606	0.207013
N-(5-acetamidopentyl)acetamide	-0.40365	0.345708
Nicotinamide	-0.39956	0.440512
Lupulone	-0.39911	0.385219
Sucrose	-0.393	0.330999
"9-(2,3-dihydroxypropoxy)-9-oxononanoic acid"	-0.39112	0.371029
Tagatose	-0.39027	0.318099
Dihydrogedunin	-0.38964	0.222472
"2,6-dihydroxyanthraquinone"	-0.38822	1.032803
Monobutyl phthalate	-0.38812	0.617983
cordycepin	-0.3844	0.633652
2'-Deoxyadenosine	-0.38267	0.410821
4-Pyridoxic acid	-0.38157	0.397105
Maleic acid	-0.38004	0.382696
"2,3',4,6-Tetrahydroxybenzophenone"	-0.37952	0.454681
2-Isopropylmalic acid	-0.378	0.345371
"4-(3-hydroxybutyl)-3,5,5-trimethylcyclohex-3-en-1-ol"	-0.37449	0.231636
(5E)-7-methylidene-10-oxo-4-(propan-2-yl)undec-5-enoic acid	-0.37331	0.669891
3-Isochromanone	-0.37228	0.343633
L-Pyroglutamic acid	-0.37088	0.940096
Sumaresinolic acid	-0.36982	0.236033
"2,4-Dinitrophenol"	-0.36863	0.527726
Thymol	-0.36828	0.579945
"ethyl 2-(2-acetyl-3,5-dihydroxyphenyl)acetate"	-0.36803	0.200336
15-OxoETE	-0.36641	0.514364
4-methylumbelliferone	-0.36499	0.20211
Roccellic Acid	-0.36381	0.418619
Isosakuranin	-0.36104	0.273607
Tadalafil	-0.35953	0.210758
13-HpOTrE	-0.35819	0.222138
4-Hydroxymandelic acid	-0.35771	0.194689
"(9Z,12E)-15,16-dihydroxyoctadeca-9,12-dienoic acid"	-0.35728	0.154548
Limonin	-0.35428	0.695208
N-Acetylputrescine	-0.35244	0.14691
5-Aminosalicylic?acid	-0.35222	0.396293
asterric acid	-0.35073	0.812592
Jasmonic acid	-0.35012	0.323224
Kainic Acid	-0.34937	0.1853
Ochrephilone	-0.34801	0.40479
Doxycycline	-0.34578	0.390288
N-Acetylneuraminic acid	-0.34343	0.418619
Acetylcholine	-0.34113	0.459608
Pinoquercetin	-0.34096	0.150445
CHENODIOL	-0.3405	0.155132
Alanopine	-0.33703	0.54106
L-(+)-Tartaric acid	-0.33626	0.094334
Quinolinic acid	-0.33619	0.245354
dihydroferulic acid	-0.33391	0.097578
Phomalone	-0.3337	0.54546
3-Hydroxy-3-methylglutaric acid	-0.33209	0.404526
3-METHYLADENINE	-0.3319	0.206755
L-Proline	-0.3313	0.345371
L-GLUTAMINE	-0.32337	0.11529
3-O-acetylpadmatin	-0.32014	0.222138
Acetochlor ESA	-0.31953	0.345438
L-PIPECOLIC ACID	-0.31799	0.319519
Hexanoic acid	-0.31619	0.315442
N-Arachidonoyl dopamine	-0.31487	0.240317
"18-Aminoabieta-8,11,13-Triene Sulfate"	-0.31011	0.423336
sulochrin	-0.30746	0.119404
2-Hydroxybenzothiazole	-0.30682	0.512593
"(2R)-2,3-Dihydroxypropanoic acid"	-0.30668	0.219726
"2-Hydroxy-3,4-Dimethoxybenzoic Acid"	-0.30508	0.088326
Cetirizine	-0.30491	0.224943
"5-[(Z)-14-(3,5-dihydroxyphenyl)tetradec-10-enyl]benzene-1,3-diol"	-0.30454	0.08669
L-(+)-Citrulline	-0.30437	0.278989
3Beta-Acetoxydeoxodihydrogedunin	-0.30324	0.318225
Naringeninchalcone	-0.3019	0.118518
p-Coumaraldehyde	-0.30159	0.279287
N-Methylisoleucine	-0.30085	0.24133
N-Acetyl-L-tyrosine	-0.30034	0.151029
2-Naphthalenesulfonic acid	-0.29933	0.465238
3-(5-phenylthiophen-2-yl)prop-2-ynyl Acetate	-0.2974	0.30579
Azelaic acid	-0.29441	0.397105
4-nitroquinoline 1-oxide	-0.293	0.308211
Uridine	-0.29268	0.253031
Gabapentin Related Compound E	-0.29189	0.425089
4-O-Methylphloracetophenone	-0.28934	0.13041
"N6,N6,N6-Trimethyl-L-lysine"	-0.28776	0.227019
Mono(2-ethylhexyl) phthalate (MEHP)	-0.28762	0.297966
Pyruvic acid	-0.28493	0.302779
Hydroxyvalerenic Acid	-0.28417	0.09359
3Alpha-Hydroxy-3-Deoxyangolensic Acid Methyl Ester	-0.28315	0.58598
Grayanotoxin I	-0.28288	0.598083
D-(+)-Malic acid	-0.28246	0.275159
4-oxo-5-phenylpentanoic acid	-0.28147	0.4467
N-alpha-L-Acetyl-arginine	-0.28132	0.198617
3-Hydroxybenzoic acid	-0.28065	0.189183
Convallatoxin	-0.2805	0.537392
Ala-Phe	-0.28037	0.261085
"5-[(Z)-14-(3,5-dihydroxyphenyl)tetradec-8-enyl]benzene-1,3-diol"	-0.27924	0.302222
"6-(7-methyloctyl)-1H,3H,4H,6H-furo[3,4-c]furan-1-one"	-0.27683	0.397105
LEVODOPA	-0.27592	0.256718
ALPHA-AMINOADIPATE	-0.27588	0.151651
S-Adenosylhomocysteine	-0.27384	0.23131
4-ACETAMIDOBUTANOATE	-0.27179	0.207854
Harmane	-0.2679	0.439233
5-HYDROXYINDOLEACETATE	-0.26785	0.114933
Epigallocatechin	-0.2675	0.558179
Phosphatidylinositol lyso 18:1	-0.26647	0.30579
Leupeptin	-0.26514	0.374523
1-METHYLNICOTINAMIDE	-0.26457	0.373506
L(+)-Ornithine	-0.26311	0.245354
destruxin A	-0.26269	0.511181
"(3S,9aS)-3-benzyl-octahydro-1H-pyrido[1,2-a]pyrazin-1-one"	-0.26117	0.114933
Shikimic Acid	-0.25969	0.192641
methyl orsellinate	-0.25953	0.165382
1-[4-hydroxy-3-(3-methylbut-2-enyl)phenyl]ethanone	-0.25866	0.315173
Ibuprofen	-0.25792	0.100957
Glycodeoxycholic Acid (hydrate)	-0.25765	0.114933
Carnosine	-0.25502	0.510548
3-Phosphoglyceric acid	-0.25396	0.162885
Indole-3-acrylic acid	-0.25339	0.378024
Phosphatidylethanolamine lyso 18:0	-0.25201	0.158703
L-Tyrosine methyl ester	-0.25049	0.40098
L-Alanyl-L-proline	-0.25044	0.210758
curvularin	-0.25041	0.127232
Sebacic acid	-0.25023	0.307417
Desferrioxamine B	-0.24737	0.284348
Monocrotaline	-0.24492	0.45628
"8,15-DiHETE"	-0.24467	0.257683
N-Methylthreonine	-0.24356	0.338367
Glycine	-0.24115	0.256718
Ethyl oleate	-0.2409	0.209398
Scopoletin	-0.24036	0.127401
"3,4-Dimethoxycinnamic acid"	-0.24012	0.141012
L-Tyrosine	-0.23958	0.194112
Lacidipine	-0.23635	0.309582
Stearamide	-0.23509	0.311429
Napelline	-0.22957	0.319664
L-METHIONINE	-0.22946	0.21818
L-2-Aminoadipic Acid	-0.22867	0.154208
Indole	-0.22848	0.236033
Taurochenodeoxycholic Acid (sodium salt)	-0.22763	0.067973
Proline-hydroxyproline	-0.22464	0.149617
"N3,N4-Dimethyl-L-arginine"	-0.22338	0.246172
L-Serine	-0.2232	0.252674
"5,6-Dimethylbenzimidazole"	-0.2222	0.242536
N6-(DELTA2-ISOPENTENYL)-ADENINE	-0.22084	0.092422
4-Methoxycinnamaldehyde	-0.2202	0.140016
pomiferin	-0.22016	0.222138
3-O-methylfunicone	-0.21927	0.072471
5-Aminovaleric acid	-0.2174	0.136957
D-Alanyl-D-alanine	-0.21685	0.246815
"3-Hydroxy-3',4',5'-trimethoxyflavone"	-0.21662	0.113374
(-)-Camphanic acid	-0.21476	0.164576
Propylparaben	-0.21407	0.065633
"13,14-Dihydro-15-keto-tetranor prostaglandin F1alpha"	-0.21328	0.141012
"(6E)-2,6,10-trimethyldodeca-6,11-diene-2,3,10-triol"	-0.21248	0.187715
Porphobilinogen	-0.20881	0.08669
trans-3-Hexenoic acid	-0.20813	0.113002
Valylproline	-0.20725	0.094334
Dihydrojasmonic Acid	-0.20626	0.257385
Phosphatidylinositol lyso 20:4	-0.20614	0.043447
N-acetyltyramine	-0.20402	0.158985
Nor-9-carboxy-delta9-THC	-0.2034	0.081147
Stavudine	-0.20229	0.210758
Propentofylline	-0.20171	0.189183
"2,4-diacetylphloroglucinol"	-0.20069	0.236033
onopordopicrin	-0.20041	0.092223
Dihydrofolic acid	-0.19761	0.072799
angoletin	-0.19657	0.181933
Phenothiazine	-0.19349	0.189183
Phenethylamine	-0.19311	0.254036
5-(hydroxymethyl)-3-(1-hydroxy-4-methylpentyl)oxolan-2-one	-0.19255	0.16806
gardenoside	-0.19248	0.167012
"4-Hydroxy-2',3,4',6'-tetramethoxychalcone"	-0.19194	0.09359
9-methoxycarbonyldec-9-enoic acid	-0.19051	0.194689
NEROL	-0.19002	0.161989
(-)-Caryophyllene oxide	-0.18964	0.121415
Corynanthine	-0.18949	0.092422
L-Valine	-0.18846	0.234644
beta-Hydroxymyristic acid	-0.18704	0.127232
Cnidioside A	-0.1863	0.110441
pinolidoxin	-0.18575	0.309901
Dodecylbenzenesulfonic acid	-0.18464	0.094479
